label,review
2,"*This isn't ""dairy or sugar free"" or aka Paleo Diet friendly book. ATK never claims it to be. So stop complaining, if you are. This is a book for people who are Gluten Free but wants maximum flavor and ""gluten like foods.""

I watched ATK on TV since I was in college when I first starting cooking my own meals. I love the how to chips and the science behind all the recipes. I discovered I am gluten sensitive about six months ago and I wanted some REAL TASTING bake goods. I bake often for friends and families. The thought of never baking again, was depressing. I borrowed several GF cookbooks from the library to test run some recipes before purchasing ATK's How Can It Be Gluten Free . So far, my whole family loved the bake goods from this book.

I have a few notes before I get to my favorite recipes:

1. You do have to understand you will need to make your own GF ""flour mix"" but the upside is, there is only ONE FORMULA for everything in this book. Another book I tried had five mixes and I haven't been able to gather all the items needed for that book.
2. You must read the intro to each recipes at least once. It gives you important information. Sometimes, you must read tips of similar recipes to get all the info. For example, under Chocolate Chip cookies, there is a tip on how to make your own frozen cookie dough.
3. If you want real tasting box pasta, read the test kitchen recommendation. IT IS SO GOOD!
4. Bread recipes need a standing mixer. Most recipes mix by hands. Some call for a blender or a food processor.

I bought the book for the bake goods so those are the recipes I tried multiple times with success:

Banana Bread: My husband brought a loaf to work and they are asking for more.
Lemon Pound Cake: Brought it to a party and no one suspected.
Applesauce Snack Cakes: THE BEST and EASY RECIPE in the BOOK. My twins would eat it for breakfast, lunch, and dinner.
Chocolate Chip Cookies: Moist and Chewy. Brought it to several parties and everyone love it.
Chewy Sugar Cookies: Perfect texture, maybe a bit lack in favor but my kids love it.
Classic Sandwich Bread (which I also made hamburger buns): Taste better than anything store bought but it does dry out fast.
Dinner Roll: My husband loves it with lots of butter, but it already has a lot of butter in it!
Cheddar Cheese Bread: If you miss a good cheesy bagel taste, this is a similar in flavor. The texture is slightly crumbly. Yeast Free.
Multigrain Sandwich Bread: BEST BREAD recipe that I tried so far, moist and flavorful. It kept moist for four days in an airtight glass container.

Recipe tried but need to try again:
Oatmeal Cookies: I thought they were dry. When it ran out before the chocolate chip cookies which I thought was better. So what do it know.
Blueberry Muffins: They were pasty and pale but my husband and the neighbors thought they were pretty good.
Brazilian cheese Bread Roll: They have a Asian Mochi like texture. My family did not find it appealing so I ate most of it myself.

I am yet to tried the pie crust and pizza crust recipe but soon, I hope. It will be Thanksgiving before you know it."
2,"Fan-freaking-tastic. This old celiac has learned to bake! I have tested these recipes on family and friends who are not gluten free. In many cases they say these recipes are indistinguishable from traditional flour. In one case, the Sugar Cookie, they say it's the best they ever had, bar none.

The recipes are a bit complex at first. But over time the prep becomes second nature. When I try a new recipe, it doesn't feel complex now. In fact many of the steps are similar across similar recipes.

I've made all of these over and over again. All of them are better than anything from the store or even a professional gluten free bakery. I've been to dozen of bakeries across multiple states. I thought many of them were fantastic. They all pale in comparison to what I can make at home now, and for much less.

The flour this book taught me to make costs me less than $2 a lb. I used to purchase mixes that were $6-8 per lb. Quite a savings and much better than any other I've tried.

Recipes that others love and ask about:
Sugar Cookie
Chocolate chip cookie
Brownie
Pie Crust
Pancakes
Pumpkin bread - all the sweet breads
muffins
meatballs

Recipes that are at least better than store bought:
Bread
Pizza crust - I hear volume 2 has a better recipe
breading for fried foods

This was all off the top of my head.

Some people can't have dairy. I've heard volume 2 is better in this regard. There are many recipes in volume 1 that require milk products and don't have substitutions that work as well."
2,"I've been a subscriber to Cooks Illustrated for years now. I've always adjusted their recipes containing gluten for my Celiac husband, and avoiding their baking recipes has been disappointing. So I was thrilled to see this cookbook in my Amazon suggestions.

I've so far flipped through many recipes and reviewed the recipe for sandwich bread and pizza crust, and am looking forward to trying both out this weekend. What I love about this book is the science and testing for each recipe is recorded with the recipe so you know why certain ingredients are added or omitted. Then if you want to adjust a bit you can do so with the knowledge of why a recipe is built the way it is.

The big bonus in this book: there is a recipe for a gluten free flour mix, but weights and measurements for two other popular store bought flour mixes are provided for each recipe. If you've ever tried to buy ingredients for a gluten free flour mix in a regular grocery store you know it can be tough to find some, but easier to find pre-packaged mixes, so this is a huge bonus.

The only drawback I can see is for someone who is not a more seasoned cook/doesn't enjoy cooking, some of the recipes are advanced. The directions are always easy to follow, but the outcome can vary depending on your take on the directions. For instance, instructions are provided on how to measure flour for the gluten free flour mix. Part of the instructions include tapping or lightly packing the flour as you scoop it into the measuring cup. My tap vs my husband's tap are completely different levels of pressure, and would result in slightly different flour mixes which could vary a recipe enough to be noticeable. Luckily weights are included, which is the best way to measure baking ingredients, but there are other directions included that could be taken differently.

Really looking forward to trying many of the recipes in this book! If you have a gluten intolerance and love to cook, this is a must buy book! Or if you're fed up with the yucky pre-packaged gluten free foods, give some of the recipes in this book a try.

UPDATE: The sandwich bread recipe in this book makes THE BEST gluten free sandwich bread I've ever had. I don't have to eat gluten free, so I know what real sandwich bread taste like, and this is pretty darn close in taste. It's right on the money with texture, not gritty or dry at all, and only a bit denser with a nice, crisp crust. Plus its a really easy recipe. Most of the ingredients are easy to find even at your local supermarket. The powdered psyllium husk was the hardest to locate. Check your grocers health supplements aisle, or stop by a vitamin shop. It's used as a laxative. I ate two pieces of this bread on the same night and didn't have any issues, so don't worry about accidental laxative effects. Also, the only 4.5"" x 8.5"" loaf pan I had is glass, and that worked great.

UPDATE 2: I continue to try recipes in this book and haven't had a bad one yet. I haven't delved heavily into the baking section other than making several loaves of the sandwich bread (which is still amazing), but I did try the arepas recipe which was great. The Almost Hands-Free Risotto can be found in back issues of Cooks Illustrated and likely in their other cook books, and is fantastic as always."
2,"I worked my way through college as a cook and sous chef at some of the nicest restaurants in my area. I loved it, but there were few good work opportunities, and using my degree was the much better option, when I finished my degree. I love to cook as a method to de-stress, and I'm still a pretty d@#n good cook. When I found out I had wheat allergies, and a short time later, my son had celiac, I had a lot of baking, frying, sauce-making, just all kinds of stuff to re-think and learn to do in another way.

America's Test Kitchen is often used by friends (who still work in restaurants) and myself to settle arguments about the right way to make something. As we learned long ago, taste is paramount, and ATK spends an enormous amount of time developing each recipe. When they get it right, they usually kill it. They are based in the northeast, and their taste is often a bit blander than my Southern sensibilities, but their pursuit of clean, fresh flavors and honest cooking methods (only getting complicated with the preparation when it makes a significant difference in the final product) is widely respected by professionals.

I bought this as soon as I saw it on Amazon. My wife wants simple recipes she can make in the bread machine or crock pot, and this is NOT that cookbook. However, if you want gluten free recipes that rival the best 'regular' recipes you've ever had, this is the book you want. If you really want to understand what each ingredient or step in a recipe adds to the final dish, this is also the cookbook you want. We rarely eat any sort of fried food, because it wasn't a priority. When I read through the fried chicken recipe in this cookbook, I had an 'a-ha!' moment, and I made Chicken Fried Steak for the first time in two years. I thought my wife was going to cry, and both of our boys were super-excited. I don't cook out of this book all the time, because they're out to create the best recipes, not the quickest recipes (there are some that can be made in less time, but many of the recipes we like best have longer, more complex preparation).

I HIGHLY recommend this book, if you have sensitivities, allergies, or celiac-related disease and are tired of not-quite-satisfying copies of dishes you loved before discovering your health issues."
2,"Finally!!!!! I can bake a cake for friends without the angst before the first bite....when I tasted the chocolate layer cake I was almost in tears. Yum. Amazingly fudgy, moist cake...period. You won't find yourself saying ""It's good for gluten free"" with any of their recipes. They are great. The crumb is not sandy, dense, cookies are not gritty, muffins rise and cakes are perfection. Pancakes....oh how I have missed pancakes....I could kiss the feet of everyone who made this cookbook. The genius is in their flour blend. Make it. It costs less than the blends and it's truely the secret to success. I've tried Pamelas, Bob's Red Mill, Namaste, cup4cup, King Arthur Flour, Trader Joes, and Paleo blends of almond and coconut flour. Nothing has come near the texture and rise of their blend and recipes. The cherry millet muffins were lovely, The linzer cookies were good, but there is a typo in recipe so I had to guess the flour amount. Itâ€™s the only recipe error Iâ€™ve found so far. I also love their savoury recipes....all the comfort recipes that you miss. Drunken noodles with chicken, fresh pasta, corn tortillas, golden cornbread and sausage stuffing, Tamale pie, Singapore noodles with shrimp. Breaded favorites will turn out perfectly. Crispy chicken fingers, pan fried pork chops, fried chicken. For the breads... I always change the psyllium husk powder to xantham gum...I have better luck with it. The pizza recipe is long, and requires a lot of time, but the crust is fanstastic. Itâ€™s very flavorful and crisp, a bit chewy....my pizza obsessed son loves it. Iâ€™m not a fan of the quick bread tasting crusts, paper thin crusts, or soggy middles....this recipe avoids all three. Be sure to roll out pie crust dough thin-ish and bake until very golden brown. Itâ€™s only good crisp.
Oh, and I should really add that I appreciate the ""Why this works"" for each recipe. Their explainations have really helped me to tweak my own gluten free recipes. Also included are evaluations on ingredients, and other gluten free products. After purchasing almost everything mentioned, I can say that I agreed with almost all of their recommendations. They also have a little G-F testing lab box which will tell you how to substitute gluten free flour blends. I would not recommend substitutions, aside from subtle seasoning, however it is nice to have. This is such a great cookbook...not just great recipes. There's so much instruction. I immediately bought volume 2 and their Mexican cookbook. I'm sorry that I didn't have these years ago when my son was diagnosed with his wheat allergy. Note- the skillet cornbread is a nightmare to make...lifting a hot cast iron skillet in and out of the oven a few times. The cornbread is perfect, I didnâ€™t like balancing a hot cast iron pan full of batter."
2,"I do love gluten, and everything that has gluten in it. It does not seem to love me as well, though. This book has some very good choices for finding enjoyable substitutions for many things you should not have. A non-wheat bread will not taste the same as a wheat bread. You just can't get past that true fact. Regular bread in its most basic is wheat flour, water, salt and yeast. Using rice instead of wheat just will not have the same flavor. The bread recipe here, however makes a very tasty loaf: nice loft, nice texture, nicely browned crust and good even without the flavor of wheat.

They use a basic gluten free flour blend of their own, and recipes are tested with their flour as well as a couple other name brand GF flours for comparison so those could be substituted. There is a very wide range of recipes from trying different grains to pasta, comfort foods (fried chicken), bread, cake, cookies and pies. The techniques used are very different from what might be expected, but they do say why they have used them. The pizza crust for instance is so wet that it must be shaped using a cover of plastic wrap. It has a long, slow bake to set the crust, then the pre-baked crusts are either frozen or topped and baked again. Delicious, slightly nutty, and I may try making it even thinner to experiment with making crackers."
2,"Pre-diagnosis (wheat allergy, among other things), I considered myself quite the chef/baker. Immediately following a diagnosis, I felt really lost and, after a few devastating GF baking failures, I felt like I would never be able to bake or enjoy my old favorites again. Since getting this cookbook, all that has changed. God bless the people at ATK for working so hard to get every recipes in here just right - and have your family saying, ""Is this REALLY gluten-free??"" They really worked through the mechanics and technicalities of gluten-free baking, and exhausted the options to make every recipe taste truly delicious. (No more ""just good enough"" - these recipes are delicious all on their own.) I haven't had a single letdown (not so with other GF cookbooks). This isn't meant to be a terribly thorough cookbook (hey, ATK: PLEASE release a part II!!), but does give the newly GF eater a good start, and the seasoned pro a new view on the traditionally dry, crumbly GF foods. Try the pancakes (oh, my gosh - divine, even after being frozen!), the pizza dough, the blueberry muffins, the drunken noodles (I have non-GF eaters raving over these every time I make them!), the Brazilian cheese bread rolls, the yellow cake, the brownies - and you'll see what I mean. If I could go back in time, I would tell my newly-diagnosed self to start here before branching out!"
2,"America's Test Kitchen is, by far, the ultimate on everything cooking and baking. The only thing, is that gluten free baked goods can not stand up to their gluten filled counterparts. The texture is so different...just not right. You know, the mouth feel of the delectable cakes and cookies you've always known? Just as they always do, ATM tests their recipes over and over... it's just that these didn't get all the way to perfection. That are though better than other GF recipes.

The biscuits in my picture were a total bomb. They were super heavy, dry and didn't taste right (ATM has specific guidelines about baking times, so they'll be cooked properly). I didn't eat any of them... my eggs were naked. I've decided that I'm going to just continue to do what I've been over the last couple of years. I eat gluten free without having any cookies, cakes, bread, etc. I used to be a diehard of consuming baked goods. Honestly, since I took them out of my diet, I don't miss them one bit. Really...."
2,"We've all been taken in by the extravagant claims and promises on various Web sites: ""Amazing Gluten-Free Cookies!"" ""The Best Gluten-Free Sandwich Bread!"" ""You'll Love These Gluten-Free Muffins!"" And then you try the recipe and end up throwing it out because the results taste and look horrible.

I'm a good cook and baker (my friends and family say ""great,"" but I'm trying to be modest here). And when I try a new recipe, I almost always follow the recipe to the letter so I can see how it works. But none of the gluten-free recipes I've tried have ever worked. I sometimes wonder whether the people posting those recipes ever actually tested the recipes.

Baking is all about chemistry. You can't just substitute a gluten-free flour in a recipe that calls for wheat flour and expect the same results. The folks at America's Test Kitchen knows this, and devoted quite a bit of their expert resources to sussing out how to create gluten-free versions of our favorite recipes. They explain the science behind it, too, so you understand why each recipe works.

I've tried several recipes in this cookbook, and they are all delicious. If you want to make pie crusts, cookies, bread, etc., you start by putting together a gluten-free flour blend (I got everything I needed from VitaCost), and then following the recipes. So far my favorite is the chocolate chip cookie recipe, which I have made twice. My daughter, who is sensitive to gluten, loves them and of course doesn't have to suffer the after-effects that normal chocolate chip cookies impose.

Although you might expect this cookbook to contain only gluten-free equivalents of baked goods, it also includes other gluten-free recipes, such as recipes containing quinoa.

If you are looking for an easy way to transition to gluten-free baking and cooking, this is a great book to use. With the explanations of why each recipe works, you'll be a lot more informed about how to adapt your own favorite recipes as well."
2,"One of my kids has celiac disease and I get migraines if I have any trace gluten â€” Iâ€™m not willing to do the celiac test. The rest of my family misses the days of my endless bakingâ€” we never ate store bought breadâ€”and as my terror of gluten contamination grew, my baking was greatly curbed. Eventually, I started attempts at producing GF products and the ingredient lists are so long and the results are frankly disappointing unless it has been years since you last tasted real food.

American Test Kitchen to the rescue. These recipes absolutely work. My non-celiac family members (we have six kids) joyfully eat these baked goods with no complaints, and my picky pallate is amazed. Everything from pancakes, to biscuits, to pound cake, absolutely delicious. Beautiful crumb, no sandy feel in the mouth. As I read through the book, I finally learned the how and why of gluten free baking. Even the artisan bread is fantastic!

Buy this book. Find an Indian grocery so you can stock up on rice flour and other flours without paying a fortune, and get baking! Very, very satisfying results. My kids think I should open a GF bakery with these recipes. Um...no."
