,book_title,star,title,format,review,helpful,sentiment
0,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,1,Furious,Format: Hardcover,"OMG!!! All pictures are pink!!! In a cookbook!!! Is this a mistake?! Is Rocco aware or was this a cheap way to push out a book! Furious! Check out ""green smoothie""",26 people found this helpful,1
1,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,2,Not a good fit for meatless eaters.,Format: Hardcover,"I wanted this to work - I was eager to try it. Unfortunately though, the 14 day plan would be nearly impossible to adapt for a vegetarian or vegan. As much lip service as is given to the benefits of reducing meat consumption, there are precious few meatless options included. I'm not saying there are none -- but it's a small percentage. If that hadn't been a huge obstacle for me, another thing I find slightly off-putting were the number of oddball ingredients that can only be found online (which is saying something coming from me, as someone who already has odd stuff like psyllium husk powder and juniper berries in her pantry.) Lastly, although I grasp Rocco's point about the physical activity benefit of cooking, I am not a person with the time capacity to prepare every meal fresh. I make ahead as much as humanly possible because time is crazy tight. This book isn't really built for that. He recognizes that time gets tight, and suggests store-bought replacements, but I'm pretty sure I can select a Lean Cuisine all by myself. I love the idea of this book and I hope it works for others, but it's just not going to work for me, sadly.
Added note: Occurred to me belatedly to add this ... the one thing I truly adored about this book was its Fitbit barcodes -- I wish all cookbooks and recipe sites would do that. I spend an insane amount of time entering recipes into Sparkpeople (which is linked to my Fitbit) so that I can track my meals. The barcode thing would be a game changer, and I hope other cookbook authors/publishers catch on.",5 people found this helpful,1
2,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,3,"Terrible recipe pictures - they are ""red-scale""",Format: Hardcover,Thoroughly disappointed with the recipe pictures in this book. Why you ask??? Because they are all pink/red...like grayscale but red. You can't even tell what food you are looking at. I have never seen any cookbook/recipe book with completely useless pictures like this. I can't understand why the author would do something like this. Even black/white pictures would have been better than the awful red/pink color. Can anyone guess what this is a picture of??? It's actually a apple breakfast muffin...,29 people found this helpful,1
3,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,3,"Clever Name For A Cookbook, But Not Worth Buying.",Format: Hardcover,"After reading about Rocco DiSpirito's book in last week's New York Times, I decided to treat myself to his book and thanks to Amazon's Prime, received the book in time to make one of his featured recipes: chicken with glazed eggplant and cauliflower rice. The fact is this recipe was featured in the Times review, but I thought that since that sounded great, it would make sense to have the book to draw on for inspiration and hopefully lose a few pounds in the process! I have to agree with some of the other reviewers that the photos in the book are terrible and hard to understand the choice of red washed out pictures of the food , since it doesn't help to make it appetizing. While my wife and I worked at making the chicken with the eggplant, I couldn't quite understand how I might have lost weight while chopping the cloves of garlic! The dinner was unique and tasty so I think there will be some recipes worth making but I wouldn't rush out and buy the book for any of my friends!",3 people found this helpful,1
4,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,1,Very unhappy with this purchase,Format: Hardcover,"Very unhappy with this purchase. I bought the book to try and get some new ideas for healthy eating. I didn't get any. The pictures are better than the recipes!! Yes they are all red, white and blurry and if it is food - please let me know.
I will give him credit for the chili-rubbed chicken on page 154. I followed the recipe exactly and found out shirataki rice is like jellified alien eggs. Nothing you want in your mouth!! The chicken itself - without the other components is excellent!! I've made it several times. Use real rice and you have a winner here.
For the rest of the book - - I would never order it again. I honestly give it an ""F"".",2 people found this helpful,1
5,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,3,I love Rocco! I have several of his books and ...,Format: Hardcover,"First let me say, I love Rocco! I have several of his books and love them all!. That being said, his new book is a total miss! I just don't really care for it. All the suggestions about how many calories you can burn just by cooking seems a little disjointed and quite frankly quite hokey. I also found that most of recipes just do not seem all that appealing.",5 people found this helpful,1
6,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,1,,,,,1
11,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,4,Very good,Format: Hardcover,"The recipes are unique and delicious, and so convenient to scan for your fitbit food log. But, who decided to make all the food pictures look like negatives? You'll have no idea what the dish is supposed to look like. If you don't mind making a dish w/o a pic, it's a good add to your cookbook collection.",,1
12,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,4,Good plan,Format: Hardcover,Thought the pictures would be in color. Shows a weird red color. Very detailed for the meal plans. Good recipes.,,1
13,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,Five Stars,Format: Hardcover,Was very good,,1
14,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,Five Stars,Format: Hardcover,nice,One person found this helpful,1
15,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,I'm so glad I did,Format: Kindle Edition,Saw this on Rachel Ray. He was doing a lot also was on the View. Had to give it a try . I'm so glad I did. It is awesome,,1
16,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,4,Four Stars,Format: Hardcover,Good ideas,,1
17,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,4,... book arrived in a timely manner and was in great condition. My only complaint is that the photos ...,Format: Hardcover,The book arrived in a timely manner and was in great condition. My only complaint is that the photos inside the book are pink. Something went wrong during the printing process for the photos.,,1
18,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,very disappointed you have to be able to get all kinds ...,Format: Hardcover,"very disappointed you have to be able to get all kinds of ingredients that are hard to come by, etc I am sorry i bought it-",,1
19,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,I have enjoyed all of the recipes I have prepared,Format: Hardcover,I have enjoyed all of the recipes I have prepared. I also got the Fitbit Charge HR and it works very well with this book. I have come up with some very acceptable short cuts for the recipes that keeps you eating healthy without spending quite as much time in the kitchen. Great variety of flavored!,,1
20,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,this one has some good tips and recipes,Format: Hardcover,"I have all his books, this one has some good tips and recipes.",,1
65,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,Five Stars,Format: Hardcover,Great cook book!,,1
66,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,4,Four Stars,Format: Hardcover,It is a good cook book---encouragesyou to cook and use healthy ingredients.,,1
67,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,Five Stars,Format: Kindle Edition,I love all the recipes.,,1
68,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,nice to have different ideas for healthy meals,Format: Hardcover,yummy recipes! nice to have different ideas for healthy meals.,,1
69,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,Five Stars,Format: Kindle Edition,Rocco's books are such a hit.....,,1
70,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,Five Stars,Format: Hardcover,good book,,1
71,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,4,Four Stars,Format: Hardcover,"not familar with a lot of ingredients, haven't tried any recipes yet",2 people found this helpful,1
72,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,Five Stars,Format: Hardcover,"Beautifully designed, and creative recipes. The photographs really add to the book. We have really enjoyed it so far.",One person found this helpful,1
73,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,5,Five Stars,Format: Hardcover,I was very disappointed in this book and have given my copies away.,,1
74,Cook Your Butt Off!: Lose Up to a Pound a Day with Fat-Burning Foods and Gluten-Free Recipes,4,... but have used his recipes before and all are good.,Format: Hardcover,Have used yet but have used his recipes before and all are good.,One person found this helpful,1
