,book_title,star,title,format,review,helpful,sentiment
21,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,AWESOME CRAVEABLE KETO,Format: Spiral-bound,"I started the KETO plan after my family in TX recommended it & then I purchased the Craveable Keto cookbook in the spiralized edition & was so impressed with everything in it, very detailed, beautiful recipes & pictures that I gifted one to my family in TX & they felt the same way. I have read it from cover to cover & then got my pantry set up with products that I didn't have on hand & started using the tips & recipes & I feel so much better health wise with Rheumatoid Arthritis & have already lost 7 pounds. Thank you Kendra for your inspiration & awesome book.",2 people found this helpful,1
22,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",4,Finally someone who’s been down the same road!,Format: Paperback,"Opened it and began reading as soon as it arrive (date promised💕). Admittedly while enjoying my “last brownie🙄😳”
I connect not only on a personal (damn that emotional baggage) but also on the logical aspect. Willing myself not to skip ahead to the recipes yet. Yes, I’m that firk🤓
Will update as I get into the meat if it (pun intended 😋)",3 people found this helpful,1
23,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,BEAUTIFUL cookbook!! Love love love it!!,Format: Paperback,"Beautiful book!! I absolutely loved this book from the moment I opened it. Beautiful pictures with every recipe (which is very important to me!), heartfelt narratives and super informative information for Keto. The paper even feels amazing.
As I sat and read the book, I thought, “finally a book I can cook everything from!”
I very much appreciate the nut-alternative recipes. Most of the cookbooks only show recipes with tree nuts, which makes it really difficult with a tree nut allergy.
I can’t wait to cook from this book and be successful on Keto.",One person found this helpful,1
24,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,One of my go-to cookbook resources,Format: Paperback,"This cookbook is amazing! First of all, it's a huge book... packed full of good stuff! It doesn't just include recipes but also tons of tips and tricks for navigating a low carb lifestyle. I have made so many recipes out of this cookbook and every one of them has turned out amazing. Personal favorites are all of the casseroles (so easy and flavorful!) and her pizza eggs (seriously these eggs are amazing!). One of the highlights for me is her dessert chapter. I have made so many of these recipes and they turn out perfectly every single time.

Her recipes are easy to read and follow and don't use weird or hard to find ingredients. She keeps it simple but full of flavor and totally foolproof. After this cookbook was such a hit, I went out and bought all of the other one's Kyndra has written!",,1
25,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Recommend!,Format: Paperback,This was the first cookbook I got of Kyndra’s. I love that it comes with the meal plans using only the recipes in the book (and says what page the recipe is on right there instead of having to go looking for it) All the recipes I have tried so far has been great! I usually only try 1 new recipe each week so I don’t have to worry about wasting money on food we wouldn’t eat but with this cookbook I tried a whole weeks worth of new dinners and very happy to say we liked them all! It also has the nutritional value which is helpful. The only thing I could say would make it better would be for her to add what brands of ingredients she used since every brand seems to have different nutritional information so I still usually have to figure out what the macros are when I track everything. Now I cannot wait to get my hands on the 30 minute ketogenic book she has out.,One person found this helpful,1
26,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Everything tastes great...haven’t had anything we didn’t like!,Format: Paperback,"Really appreciate all the work Kyndra has done putting all these delish recipes together for me/us! It makes my fun in the kitchen even more .... fun! I’ve not had anything go off taste as of yet! I have to say my favorite is the egg roll in a bowl....cheeseburger salad! I know those are 2 things but they both hold top place on our taste buds! Ok, cheeseburger in a bowl is one my husband asks for allot...there is only one thing...we often over eat it!! I’m not dairy free, but dairy light...so I’m so excited to get the new dairy free book Kyndra has coming out ....can’t wait to get my hands in it! I love to sit outside and mark the pages of which to try first, second and so on!!! Great Keto or not Keto cookbook!!! Always in my top shelf!!😉",,1
27,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,"LOVE this cookbook...it is wonderful, and I am a newbie cook...wonderful recipes, and wonderful explanations...BUY THIS!",Format: Kindle Edition,"Honestly, I don't know where to start. This is SUCH a great cookbook! Lovely pictures (which I'm finding is a very rare thing in a cookbook). The recipes are not mucked up with fancy pants techniques, but are down to earth recipes. I just started cooking in August of 2017 when I started LCHF....and WOW....I have waded through sooo many BAD cookbooks! This one is simply beautiful. I would have paid four times the price for this cookbook. I bought the Kindle Version, but I think I'm going to also purchase a paperback copy (probably spiral bound), cause it's just THAT good! Have you clicked buy yet? Why the heck not????",One person found this helpful,1
28,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Excellent for the newbie or the veteran,Format: Kindle Edition,"Whether you are just looking into low carb or have been doing for years, this is a great addition to your bookshelf (or Kindle list.) Kyndra's own story and her tips and tricks are all relatable and help add so much to the recipes. And these recipes are things I have never even thought of before like sour gummies and lasagna soup. So excited to keep coming back to this again and again for new meals and inspiration!",10 people found this helpful,1
29,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Very Allergy Friendly Keto Cookbook!,Format: Paperback,"I’m doing keto for the second time. One of the reasons I quit before was because my son has a severe peanut and treenut allergy, and everything and Keto seems to have some kind of nut or almond ingredient. I came into keto the second time more aware of this challenge and bought this cookbook to help with finding recipes that I could alter to be nut-free. To my surprise, this cookbook has plenty of nut-free recipes and is clearly labeled for allergens. The recipes look simple and the pictures are gorgeous.

I’ll update when I try more recipes, but I’m super inlove with this cookbook already.",,1
30,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Picture for every recipe,Format: Paperback,"This has become my new favorite cookbook. There is a picture for every single recipe - and for me that's important. I eat with my eyes first. I love how easy and simple the recipes are to make - no crazy ingredients (just standard keto ones). I love how the nutrition facts are laid out at the bottom with a quick net carb count at the top. I love this feature when I've been a little carb happy during the day and am flipping through the book for a lower carb recipe. I love this cookbook so much that I PRE-ORDERED her diary free cookbook. She hasn't even finished it and I'm not even dairy free, okay? That's how amazing this cookbook author is. LOL. I also bought her 30 minute cookbook - equally as amazing.",,1
