,book_title,star,title,format,review,helpful,sentiment
1,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health (1)",5,A Kitchen Masterpiece,Format: Paperback,"I just had a chance to sit down for an hour of sheer pleasure, perusing my new cookbook. I've been a devotée of Carolyn's blog for a long time, and this book is a worthy amplification of her daily posts.

The first thing that strikes the reader is the beauty of the photography. Each recipe, on the left page as you open the book, is pictured gorgeously on the opposite page. This is especially important to many who want to know ahead of time what they can expect. Many cooks are visual. Presentations are styled elegantly, most photographed with a minimalist, stylish white background. This book is a feast for the eyes, equal to the feast that the recipes represent.

Carolyn thoughtfully included just what you'd expect of a cookbook that includes the word ""everyday"" in the title. She starts with a primer on ingredients with which the reader will want to stock a low carb pantry, frequently used equipment to make your ketogenic journey easier, and sample menus. From here, she transitions into the recipes. Basics such as broths, marinades, rubs, syrups and sauces start off the culinary love fest. From there, many creative breakfast options are explored, including items many think are verboten on a keto diet, such as waffles, pancakes, fruit syrups, and coffee cake. Carolyn demonstrates that eating keto doesn't mean that common cliché of having to start your day with a dreary parade of eggs, eggs, and more eggs.

Bread substitutes follow, with such delights as skillet ""cornbread,"" Apple Cider Donut Bites, flatbread, scones, and crackers.

The appetizer chapter gets very uptown, with such selections as Grilled Zucchini Rolls With Goat Cheese and Pesto, Bacon and Sundried Tomato Truffles, and Smoked Salmon Pinwheels. Yet more prosaic snacks are well represented, with must-haves, such as graham crackers and nacho chips.

The soup/salad chapter beckons the reader to make such delights as Italian Wedding Soup, Spinach Artichoke Soup, and Fried Goat Cheese Salad.

Meats are the subject of the next chapter, with beef, pork, and lamb selections. Some are gussied up, like Pork Medallions With Browned Butter and Crispy Sage, and reliable faves such as dry rub ribs, pulled pork, and slow cooker kielbasa and cabbage.

Chicken and egg entrées are grouped together with recipes like Cordon Bleu roll-ups, quiche and frittata. There's even a goat cheese soufflé for the stylish!

Seafood is well represented, with many out-of-the-ordinary offerings, like Broccoli Drunken Noodles With Shrimp and Fish Saltimbocca. But those looking for crab cakes or crispy fish nuggets won't be disappointed. The following chapter addressing side dishes is extensive, including directions for making the popular zucchini ""noodles,"" and how to make cauliflower rice. Vegetables get roasted, baked, and deep fried.

Although Carolyn knows her stuff on every one the preceding subjects, her real forte is in amazing her readers with a never-ending parade of delicious desserts. So many think that keeping low carb means bidding adios to yummy desserts. Carolyn is adept at dismissing such ill-conceived notions, and this book underscores her talents. I have tried so many desserts on her blog, all with excellent results. Here, she thrills the reader with mousses, cheesecakes, sauces, ice creams, cookies, and brownies. And, did I mention CHOCOLATE?? No one does it better. Her white chocolate raspberry fat bombs are truly to die for!

The directions are unfailingly clear and accessible, for those who aren't confident of their culinary skills. As a classically trained chef, I find her recipes organized and always methodically presented. This cookbook is more of what I've come to expect of her. Her style is fun and familiar, like you're learning from a friend.

This tome would be a superb gift for the low carb wanna-be to get him/her excited about the possibilities of maintaining a keto lifestyle. They will find themselves up and off the couch, into the kitchen. Moreover, it's a valuable, comprehensive resource for those of us who are old hands. It's even supremely useful for those who want to start on a healthier way of life, and aren't sure where or how to begin. In other words, there is no one who enjoys time in the kitchen who won't welcome this book. It would make a splendid Christmas, wedding, housewarming, or birthday gift. Carolyn isn't preachy. She never tries to proselytize. With recipes such as those contained in this book, she doesn't need to. She has presented a thoughtful, convincing solution. She leads us to the discovery of how to achieve boundless good health. Herein, she demonstrates how easy it can be and IS to keep low carb, simply and deliciously.

Congratulations, Carolyn! You have created a true modern kitchen masterpiece.",175 people found this helpful,1
2,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health (1)",5,The Best Keto Coobook EVAH!,Format: Paperback,"This cookbook is the BEST Keto cookbook, Ever! I have already made several recipes and followed Carolyn and her site before. She knows her stuff and makes food fun and delicious again for the whole family! I bought extra copies for friends and will continue to share. I made the butter pecan cookies and the brownies for our Neighbors at Christmas. They loved them. A little tip: if you forget the baking powder in the coconut oil brownie recipe, it turns out to be yummy fudge! A pleasant result. Still have not made with baking powder yet. I really should. I made the cinnamon rolls for a church breakfast and they were a huge hit. I always go to Carolyn’s site when looking for new recipes. It has been wonderful having the cookbook right in front of me. Beautiful pictures. Very easy to understand recipes. Her tips at the bottom of each recipe are extremely helpful. (I did add extra swerve to the brownie/fudge recipe) I have been eating the Keto way for almost 2 years. I have lost 40 pounds. My triglycerides were almost 400, they are down to 138. My blood pressure is normal again. It took one year and four months for my blood pressure to go back to normal, but it is there!!!! All the while, I eat bacon, butter, mayo on pretty much everything. I am not sure what my blood sugar was prior to changing the way I eat, but I am sure it was not good. Being told that I had to go on a statin woke me up to make the necessary changes. I did not take statins, ever. My health changed completely all because of my diet. Thank you, Carolyn for helping me all along the way. ❤️",64 people found this helpful,1
3,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health (1)",5,You need this book!!,Format: Paperback,"This cookbook is a treasure! What a work of art! The contents of this book makes this more than just a cookbook! It has great tips and information all about low carb cooking. There is information on how to stock your pantry, Information on Keto ingredients, info on swaps, info on kitchen cookware, and baking tips! Carolyn writes from the heart in this book and you can feel her sincerity and warmth! Oh and the recipes are all drool worthy for sure! The pictures make you want to run into your kitchen and start cooking! You won't be able to pick what you want to cook first! I just love this book I love the easy recipes with step by step clear instructions and at the end of each recipe Carolyn included an ""everyday tip"". The recipes are simple and easy to follow with easy to find ingredients too. If your looking for a fabulous cookbook this is the one to get and if your looking to add to your collection this is one to add for sure! I could not contain myself and had to make something! I decided to make her Cannoli tart and let me tell you it is the real deal!!",57 people found this helpful,1
4,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health (1)",5,Five Stars,Format: Kindle Edition,"Brilliant!!! I love this cookbook!! You will not be disappointed. I bought the PC for Kindle version because I could not wait, did not want to wait for delivery. It is packed with recipes that I will use all the time from everyday meals to elegant dinner parties-- appetizers, sides, soups, main dishes, desserts, and more. Unlike some of the other keto or low carb cookbooks written by other authors, the majority of ingredients for the recipes can be bought locally, which is a deciding factor when you live in a small, rural, country town. The cookbook is family friendly, filled with recipes even children will enjoy. Included are perfectly stepped and conveyed instructions with beautiful pictures. Carolyn also adds her personal touches by sharing her life stories, tips, and tricks that she has learned throughout her journey in this WOE. I am so excited to see what she is going to write and publish next.",47 people found this helpful,1
5,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health (1)",5,This Cookbook Brought Me Back To Low-Carb Eating.,Format: Paperback,"I have been following Carolyn on ""All Day I Dream About Food"" for quite some time now. I had great results using her recipes, but left keto low-carb eating a few years ago, with, as you might have guessed, disastrous results; I gained about 30 lbs. So when I decided I'd had enough and was ready to return to ketogenic eating, I was thrilled that Carolyn has come out with a new cookbook. I have to say, I'm very picky about who I embrace as a food blogger. First the recipes have to make sense, and be intelligently written. A big pet peeve is when the ingredients are not listed in order of use. That's a big no-no for me, it's very frustrating to make something and then discover a key ingredient was left out, because it wasn't mentioned until the bottom of the list. Carolyn has never disappointed in that regard. Also I appreciate that she researches her topics and really knows what she's talking about. I have tried so many recipes in this cookbook, it's already got grease stains and water spots on the pages. I had wanted to keep it nice and clean, but if you use a favorite cookbook frequently it will get messy.
My only complaint, and this is just me. Where are some of my favorites from the website? Like, Stromboli, Reubens, Low-carb Nutella, Pavlovas, Almond Crusted Butter Cake, Hungarian Goulash, etc., etc?? Only one thing left to do, Carolyn.....come out with Volume Two! Thanks to the recipes in this wonderful book, and Carolyn's humor and guidance, I've dropped 8 pounds in the past week. It's a good start, with more to come, I'm sure.",30 people found this helpful,1
6,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health (1)",5,So good! And so full of practical advice for both ...,Format: Kindle Edition,So good! And so full of practical advice for both the rookie Keto person and also those more experienced with the lifestyle. Carolyn Ketchum's recipes are always stellar. Pictured are the Easy Peanut Butter Cups I've been making since Carolyn shared the recipe a while back to whet readers' appetites for the book's release. SO GOOD!! Can't wait to cook/bake everything in this book. Highly recommended!,27 people found this helpful,1
7,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health (1)",5,I LOVE this cookbook,Format: Paperback,"I LOVE this cookbook. I purchased another very popular Ketogenic Cookbook and immediately returned it. I couldn't see myself making more than a few of the recipes - they were way too complicated. This cookbook allowed me to order some ingredients that I saw were regularly used, as well as a few utensils that I knew would be helpful, and I am ready to roll. There's info at the beginning that was a great help in assisting me in reorganizing my pantry. Also many of the recipes I find on line or in the other cookbooks are way too high in protein. This cookbook as a lot of moderate protein recipes included AND it has suggestions for making substitutions for those who may want to prepare a dish without dairy etc. It is really organized well! The recipes look delicious and also seem simple to follow. Thanks Carolyn for this great resource and making it easy for busy professionals like myself. I recommend the Everday Ketogenic Kitchen for anyone looking for great low carb, moderate protein, and high fat recipes! I will update my post after I try a few recipes with more feedback!",21 people found this helpful,1
8,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health (1)",5,WOW! Buy it!!! Every recipe is delicious!!,Format: Kindle Edition,"This is everything you need in a good Keto cookbook! I have followed Carolyn for years making the wonderful recipes she posts on her blog. I was so happy to hear she had a cookbook coming out and I was NOT disappointed! I have never made a recipe of Carolyn's I have not loved! I have made so many recipes from this book already (having the broccoli cheese soup and ""cornbread"" for dinner tonight) but we eat everything up so fast it is hard to remember to take a photo! I did snap several of the Brie and Mushroom Quiche (WONDERFUL!) I also loved the chocolate haystacks (my little granddaughter was a big fan) and the chocolate/pecan muffins. Basically... buy the book! You will not be disappointed! Thank you, Carolyn, for this wonderful resource!**** UPDATE Just made the ""breaded"" goat cheese rounds for our salads tonight. WOW! I am a goat cheese lover and I didn't even need any dressing! My salad was THAT good! (So good that I ate half of it before I snapped the photo! Sorry!)",30 people found this helpful,1
9,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health (1)",5,Crazy about this book!,Format: Paperback,"There are not even words for how much I love this cookbook! My husband had a heart attack 10 months ago, and our doctor recommended a keto lifestyle to combat his ridiculously high triglyceride levels. I have used Carolyn's recipes on a nearly daily basis, both from her blog and now this delicious cookbook, and we have seen amazing results! I'm down 50 lbs, my husband has lost nearly 80 lbs and his cholesterol levels are better than they have ever been! He's off all statins and only on one BP medication. Also, these recipes are delicious and when we have dinner guests, nobody knows that they're eating ""keto."" Seriously, buy this book! Live this lifestyle! You will not regret it!",18 people found this helpful,1
10,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health (1)",5,Excellent Ketogenic Cookbook Reference,Format: Paperback,"Read it last night - fantastic! Will definitely become my go to reference for low carb recipes. Seems very doable & wasn't as restrictive as I thought a ketogenic diet would be. I actually feel relief that this is the method I have been migrating to after going back & forth between GF & Paleo, but Carolyn did all the work for me & is making the journey attainable-thank you. Please write more books like this that have common ingredients, easy instructions & satisfying taste too. Also, great idea including a variety of staple beverages which I think are important to this lifestyle. I'm excited to get cooking. 🙂",13 people found this helpful,1
