,book_title,star,title,format,review,helpful,sentiment
1,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,Buy this cookbook!,Format: Kindle Edition,"I’m a new user of the Instant Pot and after having tried a few online recipes that didn’t turn out well, I though I would opt for a cookbook. This cookbook is great! I’ve made three of the recipes so far and each has been delicious. The choice of recipes is diverse and I’m looking forward to trying more!

The photo is the Chicken and Chickpea Masala which is my favorite from the collection so far!",295 people found this helpful,1
2,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,A Great Recipe Book,Format: Kindle Edition,I have found lots of recipes I will enjoy. I don’t have”the” Instant Pot but I have an electric pressure cooker I bought over a year ago and am just now using. This book is perfect for me because I don’t have a “soup” or “rice” button and these recipes list the times and what pressure.,37 people found this helpful,1
3,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,I have got a recipe encyclopedia for my IP device.,Format: Kindle Edition,"Preparation time, Cooking time, Servings, ingredients, Directions, Nutritions
These are the six terms the author included with every 500 recipes of this book and the average preparation time of all the recipes included in this book is i think not more than 30 min and the recipes are prepared by a wide range of ingredients. That give me a freedom choose what i want to eat anytime of the day.",214 people found this helpful,1
4,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,4,LOTS OF RECIPES!,,"This cookbook does have a lot of recipes in it but I found many that I would never use, such as goat meat, lamb , octopus etc. I would say I will use about 25% of what it offers—but that’s just me. It wd be great for those who want to try some really different cuisine. It has lots of sauces, Chinese food , breakfast dishes, soups and desserts. It does give directions oninbeach recipe for setting the pot which is very helpful. But there is no extra information about the Instant pot itself or pressure cooking in general. It is strictly a cookbook. The recipes that I have made so far have been good. There is an offer posted on the front of the book for additional 1000 classic recipes u can access online but after several trys I could not bring it up.",12 people found this helpful,1
5,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,Looked at several recipes and they looked great with most ingredients in my kitchen,,I was surprised at how big the book was for the price. Looked at several recipes and they looked great with most ingredients in my kitchen. Can’t wait to start using these recipes,24 people found this helpful,1
6,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,Five Stars,,perfect,16 people found this helpful,1
7,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,Simple straightforward reference guide,,"I realize there are a number of facebook groups and webpages out there with Instant Pot recipes. I do use those but sometimes when you want a quick reference guide or you are a beginner looking to just make potatoes this comes in handy. As a beginner getting this cookbook it also opened me to the range of things that you can make in your instant pot. Not something you would immediately realize from the facebook groups as they are posting more complicated or sophisticated recipes.

Very simple book like a cooking manual for the instant pot. But no pictures.",7 people found this helpful,1
8,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,4,"I love the cookbook and almost gave it 5 Stars, ... but!",Format: Kindle Edition,"I love the cookbook and would give it 5 Stars ... but, it is on my Kindle and guess what??? On my first recipe I prepared all the ingredients in advance, but when I was in the middle of an unfamiliar recipe double checking steps, or timing a saute, or making other preparations, my KINDLE suddenly times out and turns off and the recipe disappears? This never happens when I am reading, so I never thought to change the Kindle settings. My fault, but it was disconcerting, especially since I did not have the time during cooking to reset my Kindle's timer.

I do have a question ... why is the printing in the Table of Contents in the Kindle edition so faded and difficult to visually scan rapidly, especially since the rest of the printing in the book is dark and easy to read?",11 people found this helpful,1
9,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,First meal... success!!,,Just made our first meal tonight. It was the Creamy Chicken on page 87. Highly recommend it and this wonderful book! Husband and (picky) kids approved!,73 people found this helpful,1
10,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,A Cookbook one can actually use,,"I like this cookbook because there are a good number of recipes I would actually make. Also, it provides sauce/glaze recipes I could use for other dishes if I do not want to make the accompanying recipe. Too often cookbooks have odd recipes and odd ingredients many people do not keep on hand such coconut milk, fish oil, etc. There are only a few recipes that have odd ingredients I might have a hard time buying where I live but then I wouldn't make the recipe anyway because it did not appeal to me.

Recipes are clear and the directions are easy to follow.",3 people found this helpful,1
34,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,4,good value for the price,Format: Kindle Edition,Wish I knew how to add notes to the recipes I've tried. Suggest searching YouTube to see actual cooking.,One person found this helpful,1
35,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,Five Stars,,Great selection,3 people found this helpful,1
36,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,A MUST HAVE!!,,"OMG!!! A REAL cookbook! No glossy pages and not one picture. Just 500 recipes!! Now, this is what a cookbook is supposed to be! I have a couple other Instant Pot cookbooks but they don't come close to comparing with this one!",,1
37,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,This is wonderful. It will even open up a bottle of ...,,"I have RA and opening any type of jars or bottles is extremely hard for me. This is wonderful. It will even open up a bottle of soda, the individual type. Best $8 I spent",One person found this helpful,1
38,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,Good book and Fair price,,"I love the Book. Thank you for easy to follow recipes and ingredients I have on hand quite often.
I do not care about the Nutrition information and would have liked a few Pictures.
The price was good also.",One person found this helpful,1
39,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,Short on time? Hungry? Need Nutrition? Try it!,Format: Kindle Edition,"When you have time to chop and measure the ingredients, you will be rewarded with a delicious and nutritious meal, in an amazingly short time.
Clean up is a breeze. The recipes are clear. You just need to be organized.",,1
40,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,Great Instant Pot,Format: Kindle Edition,Haven't been able to cook a lot of the recipes but there are some that are in the book. I will say the Instant Pot will make everything you put in there but you have to follow directions.,,1
41,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,4,Good recipes,,I assumed it was recipes ONLy using the ip. Some recipes require other cooking methods.,One person found this helpful,1
42,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,5,"Easy, versatile recipes",,"Gift for my daughter. Easy, versatile recipes.",2 people found this helpful,1
43,Instant Pot Cookbook: 500 Most Delicious Recipe Collection Anyone Can Cook,4,A good guide for learning to cook with the Instant Pot.,,"4-stars because although the recipes are good overall, the pork shoulder receipe called for too much apple cider vinegar which ruined a $14.00 pork shoulder. Overall, a good guide to cooking with the Instant Pot.",,1
