,book_title,star,title,format,review,helpful,sentiment
1,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,5,A Great fantastic book!,Format: Paperback,"The best detailed book and diet. I started in mid-September and I lost 50 pounds in two months byThanksgiving! I am not exaggerating or lying, I have the pictures to prove it. I went at two weeks segments while following it. When I started, which I will admit, like any other diet, was difficult because you are changing your habits and following a curtailed diet and formula. You just have to be easy on yourself. By the next morning I lost two pounds. I made it nine days and lost 17 pounds! Then went off for a couple of days but still followed the book and went back on the diet, going back and forth losing weight at an even clip. The book explains everything before, during and after, with the author's story, who discovered and went through the exact same thing as you will or do. By Christmas I lost 60 pounds! That's three months. I would go off the diet when there was an event, like Thanksgiving,Christmas and New Year then go back and forth around the events. The purpose for any diet was for my daughter's wedding that coming June. I wanted to be slimmer, especially since pictures would be taken. By June I lost 80 pounds. I did not rush or worry about any crash to lose the weight, I took my time and surprisingly lost the weight rapidly. I got the hang of it and lost the most weight. It is amazing what your own body does when it gets a little help. The first thing you will notice, other than losing pounds, is ""you are not hungry"" once you get past the inital stage of the diet. Sleeping well and the natural energy will happen almost instant. Just remember, your mind will trick you into giving up and getting you to think this is for you, that is all of the junk luggage and sugar your body is holding. Again a great book and eating change.",39 people found this helpful,1
2,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,4,"If it were easy, everyone would do it.",Format: Mass Market Paperback,"Great detox but best if you read the book first. While I am doing it for the 3rd time, each time I've done it I have had to read the book again. I agree with some of the reviews that it talks a lot about the testimony of others but for me that is paramount in making a connection for why I'm doing it. I find the testimonials to be helpful additionally because you learn that people approach it differently so when I do my rendition (though I try to do it as prescribed), I know it is okay. It helps me make it through.

The biggest tip I have is to read the book first, before actually doing the detox. It helps solidify your resolve during those times, and it will happen, where you want to give up. If you make it through your program (whether 7, 14 or 21 days) you will feel and look great and be more apt to eat more healthy going forward.",19 people found this helpful,1
3,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,5,Buy this book!,Format: Mass Market Paperback,Don't be fooled by the title. This is not a fad diet. This is one of the best concise and yet comprehensive guides to restructure your eating lifestyle to an alkaline diet for better overall health and wellness. I buy these books as presents for my friend to get them off of the SAD lifestyle. Following these principles can change your life.,6 people found this helpful,1
4,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,5,Easy read & so far I've lost 30 pounds & I'm not hungry!!,Format: Mass Market Paperback,"Highly recommended by my health coach & now I understand why!!! Clears up many issues I've had in the past & so far, I've lost 30 pounds!!",2 people found this helpful,1
5,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,5,Feel your best!,Format: Hardcover,"I did this cleanse because a friend of mine recommended it and it is one of the best things I've ever done for my body. I did it for 15 days, and yes, I lost 15lbs, but more importantly than the weight I lost my body felt the best it has possibly ever felt.

I've read some of the other reviews, people said it was disgusting or they were hungry all the time, and I should say that I did not follow the regimen to the letter. I bought Naked Juice instead of Martha's Vineyard's juices, I used supplements that I liked, I did a Yogic intestinal wash (Laghoo shankhaprakshalana) instead of enemas, I added a pinch of salt to soups I made that were too bitter, and I ate soups at restaurants when I went out with friends. I think in order to keep from failing you have to allow yourself some wiggle room. The end result was amazing ... my friends all said my skin was glowing, my mood improved, my energy level increased, I wanted to exercise, and I felt fantastic in my body. And when I did start eating again, everything tasted SOOO GOOD! I enjoyed food on a level I never knew was possible.

If I'd followed the cleanse exactly my results could only have been better, but the way I followed it I didn't get hungry, I didn't feel deprived, it wasn't disgusting, and I still got all the benefits. I highly recommend this program to anyone wanting to improve their health, and the bonus is you'll get an improved relationship with your body and with food.",361 people found this helpful,1
6,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,5,Life changing for me,Format: Mass Market Paperback,"I can say 1st hand that this works. I lost over 21 pounds and felt great. Then life happened and about a year later I was diagnosed with cancer (cervical), had surgery, and needed to get a grip on my health. So, I combined this with another 60 day detox juice regimen and could not feel better. If there was an option for 10 stars I would give it 10 out of 10.",8 people found this helpful,1
7,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,5,Absolutely love this book! Great!,Format: Hardcover,"Great book. Thank you Robin Quivers for introducing all of us to it.

Robin is a genius, and a very open minded woman, which is why she is so willing to try alternative methods for health.

This is a great book, based in truth, and has only the best recommendations for your health.

If you could have only two books on your shelf for healthy- This book and The China Study.

Def recommend if you don't already own this!",One person found this helpful,1
8,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,5,Nice,Format: Hardcover,This book is great I used to have it back in 2007 I did a cleanse in 2010 when I get off the road I'm going to do it again get back in shape,,1
9,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,5,review updated in 2015,Format: Mass Market Paperback,"I was always the chubby kid.. then the obese teen. As a teen I found my love, martial arts, and transformed into an athlete. After the serious injury, the misdiagnosis with delayed treatments then the life-threatening complications and myriads of cascading medical events virtually stripping my ability to participate in most common daily activities for more than seconds and minutes at a time, it is no wonder after 2 decades I find myself once again overweight, this time as ""morbidly obese.""

A couple years ago, determined to take control of my health, I literally purged my home of anything containing high fructose corn syrup, artificial colors, artificial sweeteners, hormones, anti-biotics, brominated vegetable oil and anything else I deem as ""over-processed chemicalized sludge"".

My weight stabilized then another medical saga left me despondent, drifting through life grazing on enough fare from the traditional Standard American Diet (very SAD) I gained yet more weight til I was ""morbidly obese"".

Returning to my strict adherence to avoiding the ingredients which causes me to refer to over-processed goods as ""chemicalized sludge"", I again stabilized my weight. Figuring out hormonal body types helped lead me to enhanced supplementation- I lost an amazing 5.4% in just 2 weeks! ! Wow!

Trying to boost my game, afterall I still cannot ""workout"" in the traditional sense, a friend led me to this book. Wow! So much I have come to know to be true is packed into a simple easy to follow manual.

Whether you want to lose 21 pounds in 21 days or you need to lose 21% or in my case intend to lose over 100 pounds, get this book. It can literally help you empower yourself to save your life.

2015 Update - okay, so shortly after posting my previous review I had several major setbacks, both physically and then mentally. I fell off the horse after losing about 40 pounds. If I can do it while physically disabled, someone who can seriously work out may have a better chance. I'm back on track now, almost 3 years later. Since then I've learned the truth about SYNTHETIC vitamins such as FOLIC ACID and the truth of REAL vitamins such as FOLATE and WHY it's such a huge importance particularly with over 60% of us having some form of the MTHFR genetic mutations (anyone with a personal or family history of diabetes, hypertension, cancer, neural tube defects, luekemia, ms, liver disease, cardiac issues, birth defects, autism, depression, chronic fatigue, anxiety or about any other issue, consider getting tested at a site like 23andme then upload the raw data to a site like Genetic Genie for REAL info on what you need to do for your health.

So.. I'm back to REAL foods, those that are FREE of ""enriched"" synthetic vitamins and nutrients. I'm back on track.. and 20 pounds just melted away seemingly overnight (2 months). As long as I'm good about staying on track I loose weight. .. now the problem is staying on track.",6 people found this helpful,1
10,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,5,Finally Loosing That Weight!,Format: Mass Market Paperback,"It's been a while since I left a review, however I have to now. I'm 55 and for the past 5 years have had a hard time loosing weight [25 pounds]. I thought about Detoxing and didn't know to much on how or what to do. I read the book first before doing anything...because I really wanted it to work. The testimonies are very valuable of successful 21 day detoxing with a wide range of age groups. We decided to do it [hubby and me] This is our 8th day. The first 2 days were uncomfortable .. only because of habits that we have... other then that we were not hungry. We decided to weight ourselves on the 7th day. My hubby lost an amazing 14 pounds and I lost 13 pounds... we are on our way... Yeehaw!

I haven't used a juicer... only a high power blender. I also bought most of the products from SwansonVitamins.com
[Amazon was higher priced] The Garden Greens products such as Acai Splash Energizing Drink, the Essential Greens are the best and taste good. Then added veggies or berries. And very important! I set the Timer every 2 hours for another Greens Drink.

There are a few things that we aren't doing however the results were still amazing.",10 people found this helpful,1
