,book_title,star,title,format,review,helpful,sentiment
1,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Best introductory book on incorporating herbs into our daily lives,Format: Kindle Edition,"Wow! That was the first thing that came out of my mouth as I began reading this book. It is by far the best introductory book I have seen in my almost three decades of learning about herbal medicine and herbal support. I was hesitant to buy another introductory herb book as my knowledge is beyond the introductory level. But the recipes in this book are worth every penny.

I wish I had this book to start with back then. I think it would have saved me money, time and energy as I explored what I thought was herbal medicine content. The content is not overwhelming and if this is the only herb book you learn from you will have a basic foundation if using herbs for nutritional support and basic home remedies. The foundational content includes an explanation about how herbs serve individuals unlike our current system of One Solution Syndrome for everyone (take a pill for this and then take a pill for that), a well-explained overview of the energetics of herbs and deep dive into the tastes of herbs - which is my favorite part.

More than anything else, I love the simplicity of introducing herbs through food and cooking. Food should always be our first medicine - which is how I can easily justify a Cardamon Chocolate Mousse Cake each month since it so good for me! Another aspect I like about the recipes is that they are all very doable: no specialized equipment, no huge orders of exotic herbs and spices and no tricky culinary skills required. The author has done a remarkable job of making herbal support both legitimate to the doubtful and accessible to the open-minded.

Most importantly, Rosalee uses her clinical skills throughout her writing and offers recent research to support medicinal applications. She also employs safety and caution and gives specific examples of what some herbs can do (because yes, they really work!) to some individuals.

Overall, I think this is the best introductory book on incorporating herbs and their nutritional and medicinal properties to support our health.",338 people found this helpful,1
2,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,"Finally, a Guide for actually USING Herbs beyond just Tisanes",Format: Paperback,"I'm not sure what I was expecting (maybe the stereotypical herb book) but Rosalee has covered SO much more than I imagined would be in there! I've only skimmed through so far but want to say I love all the photos, powerfully useful information and the easy to read tone and type font. And of course that ""new book smell"" Just knowing some Herbs and ID'ing them is one thing, but learning ways to actually USE them (aside from plain old tisanes, tinctures and salves) is a real treasure! This will make a great gift for my sisters who are learning about Herbs, too, and my daughter so she can prepare even healthier and more fun meals. My grandkids are excited to forage with me this season. What better way to get them excited about nature, nutrition, their meals, survival basics - and keeping their noses out of electronic devices as they get older - than hands on ""doing"". ? We need more practical application guides like this.",140 people found this helpful,1
3,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,My New Favorite Herb Book!,Format: Paperback,"I was not going to get this book at first because I have so many herb books already. But I love John and Kimberly of Learnng Herbs and I have used several of Rosalee's remedies and recipes already so I wanted to support the great work they are doing! Omg! I love this book! It is informative, beautiful, practical and jam packed with amazing things to make and eat! Last weekend I was out in the yard picking dandelion leaves, my husband asked why I was weeding the yard and I told him I was going to make Dandelion Pesto! It was the best pesto I've ever had in my life. Cinnamon Maple Chia Seed Pudding for dessert was so yummy and healthy! Treated the girls at work today with Spiced Carrot Cake and they went crazy over it! I have worked with herbs for almost 20 years, yet I am learning new and wonderful things from Alchemy of Herbs! GET THIS BOOK! A ""must have"" for every herbal kitchen or even a newbie curious about herbs!",48 people found this helpful,1
4,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,For Everyone!,Format: Kindle Edition,"I grew up with herbs and studying them my whole life, I have countless books on harvesting, remedies, into herbalism, advanced herbalism, etc. This particular book has amazing recipes, tips and education. This really is for EVERYONE. Beginners will have no issue following the structure and recipes. At the same time, the advanced herbalist can benefit from these tried and true recipes. This book is perfect for learning and growing at any level. A must for your herbal library.",30 people found this helpful,1
5,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Great guide!,Format: Paperback,"Wonderful, easily accessible herbal guide. I love how the focus is on adding herbs into your life, and determining which ones are most helpful to YOU.

The quality of my book is great, easy to read and well constructed. I see comments about the binding - mine moves freely from the spine, as designed so that the book will lay open.",39 people found this helpful,1
6,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,TL;DR - 6 stars on every important point!,Format: Paperback,"This book is amazing!
Although, If you're looking for a ""this herb heals this issue"" sort of book, this isn't for you. If you want to know how to use herbs in just about any other way though, this book IS for you!

My favorite parts are (in no particular order):
1- the full color pictures of the herbs so I can take it out with me to try to identify wild plants,
2- the glossary at the back! I'm learning but not all of the vocab has stuck yet
3- the actual studies about the herbs! until Rosalee talked about it a little while ago I bought into the ""herbs-aren't-studied"" rumor but now I have sourced studies that I can kindly share with the mis-informed. We shall end this rumor!
4- It's not as tall as I was expecting. At first, it kind of made me sad but I realized quickly that it will fit in my diaperbag better so I can carry it with me everywhere without cutting back on diaperbag necessities.
5- There are a list of places at the back of the book that provide herbs and supplies along with info on if they provide the herbs and/ or the supplies and if there are other things you should know (one of the places provides fresh herbs but you have to order those in advance).
6- Instead of a text book or recipe book, it's feels almost like a story. It's all personalized with stories and emotion so it's like reading a letter from a friend, exactly what a great book should do.
7- While not every recipe has a picture of it, a huge majority of them do (including a couple very tempting desserts) and the ones that don't seem to be things like the teas that all look fairly similar anyways.
8- ""Part 1"" where she goes into the taste of herbs and the importance of energetics. I've learned these from her but I'm very happy they're in the book as both a reminder and also to make it easier for me to help and teach others.
9- They aren't all food recipes! There are other things too like ""Lavender bath salts"", ""Cayenne salve"", and ""Cinnamon tooth powder""
10- The cute picture of the ladybug on the sage leaf on page 158.
11- She lists the special considerations of the herbs. Things like ""use in low doses (or avoid) if pregnant"", ""avoid if you're on blood thinners"", and other sorts of things that one needs to consider.
12- The metric conversion chart!

On the other side, there were a couple things I didn't like
1- The corner of the cover was slightly bent up when I opened the box. Most likely Amazon's fault since the box was quite a bit bigger than it needed to be and the packaging only slightly prevented the book from moving around.
2- Several of the pages were cut slightly off. They're the same size as the book but the bottom line of a couple of the ""who-said-the-quote""s got sliced in half. I can still read it but there is a small strip of white at the top.

Because the first issue isn't their fault and the second one has nothing to do with the quality of information or how it is presented, I'm still going to wish I could give it more stars or something along those lines. And I'm honestly considering buying another for a wedding present for a friend and possibly a few for presents this Christmas.",29 people found this helpful,1
7,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Inspiring and lovely,Format: Paperback,"Super Love this book!!!! There are several things I am enjoying about it.
Firstly, it has gorgeous pictures! For a visual learner, this is so lovely. Secondly, there are just the right amount of practical uses & recipe suggestions for each herb. Lastly, and most importantly to me, Rosealee has a warm, wonderful, & relaxed way of relating the information to you, the reader. I fell in love with the book when I read about the herb, rosemary, & her account of her visit to southern France. She recalls hiking down a dusty trail that lead her to beautiful view of the Mediterranean, where she found at her feet a large patch of fragrant and flourishing rosemary. She was inspired by her experience in that moment, recalling that rosemary means, ""dew of the sea. "" Reading her personal experience with the herbs not only makes me want to learn more about the herbs themselves, but keeps me grounded, remembering that we learn about herbs as they relate to people. Its inspiring to me. It's not just about botanical science, & the alchemy of herbs. The science alone is intensely interesting to me, but the relational aspect of helping other humans is what makes learning it all truly worth it to me.
A truly love work, Rosealee. A job well done. Thank you.",29 people found this helpful,1
8,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,A Herb Book for Everyone using Everyday Ingredients!,Format: Paperback,"An herb book for everyday people using everyday ingredients!

I can't understate how much of a win-win this book is for everyone interested in becoming knowledgeable about herbs. Whether your ultimate goal is to build a pantry-size apothecary or brew a nourishing cup of tea using , this book is written for you.

Although I consider myself fairly well-versed in the herb department, I like that this book is written for people who are not...in an easy read manner with plenty of tools, such as quizzes, exercises, and recipes to help you navigate down the herbal highway:

* what types of herbs to use for your personal constitution (whether you are hot, cold, damp, or dry);
* how herbs can help ""tune"" up your system and keep it running smoothly; and
* how best to use those herbs (steeped in tea, blended into a lotion, added to pesto sauce, baked in a cake).",13 people found this helpful,1
9,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Wonderful and Incredibly Helpful,Format: Paperback,"This book exceeded my expectations. I read it in 2 days because the style is simple but rich with description and I have to add, very easy to understand. I finally had to get my sticky notes to mark the pages I wanted to go back to because after the 20th page of thinking “I’d like to try this...” or “this is fascinating, I’ll come back to this page,” I lost track.

It’s packed with origin, usage, dosages, how to’s, vibrant pictures, and resources. The first chapter broke down every single question I ever had about “I wonder why “this” isn’t working for me.” I understand now that my physical balance determines what I need rather than searching for supplement to fix all. If your looking for an all around easy to read approach to begin a healthy lifestyle, this is a great book.",6 people found this helpful,1
10,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Accessible and powerful info,Format: Paperback,"My first thought was - why do I need another herb book? I've got the coffee table one that has pretty pictures, I've got the one by the lady who lives in the woods and tells the medicinal values...Well, I'll tell you why.
This book makes herbs completely accessible. It illuminates the cozy, comforting and yet powerful and continuous connection between our nourishment and our healing, between our food and our medicine.
Rosalee helps us realize that healing and supporting health doesn't have to be something that is difficult, dangerous, and done only in special places by intensely educated people. It can start at home with adding some garlic and turmeric to your soup, and dandelion greens to your salad (and hundreds of other delicious and healthy ways!)
It is an inclusive book that doesn't bash anyone, but like nourishing herbs, simply serves to bolster the good and illuminate connections.
I appreciate this addition to my kitchen AND medicine shelf.
Thank you! (I've also given several as gifts to very appreciate friends :) )",17 people found this helpful,1
34,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,This is the beginning herbalists new bible!!,Format: Paperback,"One might expect this book to be the main textbook to Herbalism 101. I have worked with herbs for several years and many of the books out there leave one disappointed. Not Rosalee's excellent tome!! Quite honestly, this is the book I was searching for years ago, warm, informative, easy to understand and yes, even funny at times!! This is the beginning herbalists new bible. And yet, it is equally informative and useful for the experienced herbalist.
If you are just beginning your journey into the fascinating world of Herbs and healthy natural living this is the book to start with!! But don't just look for a cure. Start with the introduction and read it all. At a glance it looks rather dry, but there is a wealth of knowledge on every page!!!",2 people found this helpful,1
35,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,As Helpful As It Is Beautiful,Format: Kindle Edition,"This gorgeous book arrived this afternoon. I spent the rest of the afternoon looking at the pictures and checking out the herbs, many of which I use often. Finding out my body type has been most helpful. This is not a read-once and put away book, but one that will be studied for a long time to come.",45 people found this helpful,1
36,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,"Amazing combo of art, cookery, and science!",Format: Paperback,"Everything I expected and more. Even though I had previews of the photos and recipes, the final product is above and beyond what I imagined. The photos are gorgeous, the herb details are encompassing yet succinct, appropriate for a ""cook book."" As an herbalist and an avid foodie, this book is the perfect combo of herbal medicine and how to prepare them in food and other applications. I have been carrying it around in my purse since the day after I received it, so I can show it to my friends and fellow foodies. Everyone I show it to has quickly commented that they, ""have to get this book!"" A work of art and science that is a must for any foodie's cook book shelf!",3 people found this helpful,1
37,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Well Organized and Informative,Format: Paperback,"This book is very well organized for anyone new to herbology. I particularly liked her focus on the individualized approach to medicine, incorporating the many solution approach, integrating herbology with all aspects of medicine. Diagnosing the individual rather than the disease makes each remedy individualized. Our thoughts, feelings and environment may result in dis-ease and the western approach of soothing the symptoms actually makes discovering the root cause that much harder. I also liked her simple explanations, her organization of herbs into sweet, sour, bitter, salty and pungent, and the fantastic recipes which allow one to fully incorporate the herbs into one's life.",2 people found this helpful,1
38,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,It's not your common herbal!,Format: Paperback,"This is a wonderful book! It is not like a common herbal. It is not based on take this for that, one size fits all practice. It is evident Rosalee has done much research, and has used these herbs extensively. She gives history, and instructs about the energetics of the plants and matching it to the energetics of the person, all described is a easy-to-understand way. The recipes are delicious! These are amazing concoctions that are easily prepared, with common ingredients, delighting you senses. She gives several recipes for each herb discussed. Rosalee wants people to use herbs everyday in their daily life as food.

When I opened the book I could not put it down! It is written is such an interesting way, with beautiful photography. I read through quickly, and have made several of the recipes already. This is a book I will be using again and again.",3 people found this helpful,1
39,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,4,The cover is just as beautiful as pictured,Format: Paperback,"Delivery was quick of this item. The cover is just as beautiful as pictured. Contents are what was expected and more and am enjoying making some stuff already and so overjoyed that Rosalee took food allergies & intolerances into account. My 5yr old daughter and I made the BEST carrot cake I've ever had immediately, w/out having to adjust the recipe for our grain free diet, as it already was. Gave some to my parents and t hey couldn't even tell it was grain free and LOVED it too and carrot cake is one of my father's favorites. The ONLY reason I gave this book 4 stars was NOT due to the author or the contents but rather the publisher/printer...I had this book less than 24hrs and the cover was coming off already, revealing just a slightly sticky gel strip holding it on, as it's supposed to have a lay-flat binding. I would've ordered another but looking at this, pretty sure it would have the same issue. Instead, I am taking it to Staples or Office Depot and having it spiral bound. I HIGHLY recommend the contents though and that is the real value here. Thank you for an excellent book Rosalee!",15 people found this helpful,1
40,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Great boook,Format: Paperback,"I have many books on herbs and spices, but this one is one of the better one's. The font is a bit light but I can see it. There are companies that are putting things in light print and as we age we cannot see it. But the information in this one is great. And I cannot wait to try some of the recipes in here they look great..Thanks for putting all this info in one place so people can find it",3 people found this helpful,1
41,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,4,The pictures are great for enticing a beginner to try something,Format: Paperback,"I have had this book for several months and am a teaching herbalist. The pictures are great for enticing a beginner to try something. The layout gives plenty of peaceful space; doesn't feel like it's rushing me, though the waste of paper is gnawing at the tree-lover in me. Strange balance of information in the herb taste categories, though. Only 1 salty herb is covered and 2 sweet ones with 16 pungent herbs. Unfortunately, pungent is the easiest to figure out on ones own since people are most familiar with cooking spices. They are more often used for acute symptoms like infection and pain. But, with the proliferation of degenerative diseases today, we need to know more about the building and recuperative herbs like found in salty and sweet tastes. Maybe in Rosalee's next book ...",2 people found this helpful,1
42,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Accessible and beautiful,Format: Paperback,"This is a beautiful book filled with accessible information and recipes. I have been enjoying reading through the detailed information on each herb - overview, botanical information, medicinal properties and recommendations & recipes. Each of the 29 herbs are grouped in categories by taste. Each has several recipes from pastilles to teas, soups, smoothies, pesto to cordials!

This book is well written and accessible - Rosalee De La Foret has written a book as if speaking to a friend and offering useful information that I can apply everyday in my kitchen and from my own garden. I can't wait to gather dandelions this Spring!",One person found this helpful,1
43,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,It is amazing! I am new to using herbs in our ...,Format: Paperback,"I was excited to order this book, but was wondering if I would actually be able to use it or if it would be beyond my understand. It is amazing! I am new to using herbs in our everyday lives. This book is perfect for beginners and those who are already into herbs. I can't wait to make more of the recipes in the book and to make herbs more and more a part of my family's lives. Not only is it incredibly educational and informative, it is easy to read and is absolutely beautiful to look at! I can't believe the quality of book you get for the price!! Do not hesitate to buy!",One person found this helpful,1
45,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,I love how this one starts out with determining body type,Format: Paperback,"I have followed John from Learning Herbs for probably as many years as he has been public. Through him, discovered Rosemary Gladstar and of course, Rosalee de la Foret. I have bought several books at John's suggestions, including this one. I love how this one starts out with determining body type. The recipes are simple and having made some of them before, I can tell you that they do work. I am so glad she has written this book. It will be one of the many that have a special place in my library!",2 people found this helpful,1
