,book_title,star,title,format,review,helpful,sentiment
12,"Eat Feel Fresh: A Contemporary, Plant-Based Ayurvedic Cookbook",5,All the Yummies!,Format: Hardcover,"Sahara Rose.... an amazing, insightful and beautiful soul! Her first book Idiot's Guide to Ayurveda is amazing. I am getting my copy of Eat Feel Fresh TOMORROW! I'm dying to have it in my hands. It's like Christmas Eve right now. LOL I've seen a few of the recipes already shared from her cook book and I know I'll be able to prepare these easily. I am starting an Ayurveda Masters in Digestion and Nutrition program with Joyful Belly next week and cannot wait to have some quick and easy meals from Sahara Rose's book to use during the next 10 months of crazy work schedule balanced with new school schedule. Thank you Sahara Rose for your just right timing. Love you girl!

UPDATE: I got the book and made my weekly work meal prep that week! I used one of the 6 taste bowls! YUMMY! I'll be making a new 6 taste bowl for the upcoming week of work (school teacher). I also do not microwave it, I just do not add an ice pack to my lunch box and eat it room temp. ;)",5 people found this helpful,1
13,"Eat Feel Fresh: A Contemporary, Plant-Based Ayurvedic Cookbook",5,This is a book of self-love!,Format: Hardcover," This books is a true treasure! Sahara Rose’s essence really comes through as well as her deep selfless desire to help others. It’s engaging because she relays things in layman’s terms, and her personality and spirit come through with her personal journey to optimal health. I literally received it today and it is living up to all of my expectations. It will be in my purse for a while because I am now in the school of Eat Feel Fresh.
I am a stage 3 cancer survivor seven years out now. I did a cleanse with holistic doctors in 2014 and they set my body on track which it had just never been at. I got off course with my eating habits and my body and soul have been calling out for me to get back on track. And the universe sends me this book, no coincidence!
I literally vibe with books or not and this one from the onset was calling my name. Not only is it a beautiful work of art but the content is amazing. She breaks things down for us like the essence of Ayurveda and how it relates to yoga , how the book modernizes Ayurveda, the Doshas and how to know which one you are, alkalinity in the body and foods, the chakras, and so much more! There are even healing mantras, (my heart jumped for joy with this one)!
What gets even better are the recipes! They are amazing, and encompassing of global cuisines! This is trés important for me as I LOVE food and consider myself a foodie at heart! My love of eating is what got me off my course on healthy eating as I need variety and excitement for my taste buds. The ingredients are easy to find and there are plenty of tips to make things easy. Everything from sauces, pesto, desserts, drinks, soups, bowls, curries, and more. Some of the recipes that I’m so looking forward to making:
*Lebanese Lentil Bowl
*Bento Box Sushi Bowl
*Chakra Soups
*Roasted Cauliflower and Lentil Tacos
*Plant-Based Pho
*Sweet Potato Lentil Shepherd’s Pie
*Raw Rose and Pistachio Cheesecake
Eeeek, so excited!!!!
I’m starting this Saturday with the Chai pancakes as I already have all the ingredients!
This is the cookbook for these new times of higher awareness and consciousness. Getting it is definitely a step in the right direction to alignment of mind body and spirit.",3 people found this helpful,1
14,"Eat Feel Fresh: A Contemporary, Plant-Based Ayurvedic Cookbook",5,This is so much more than a beautifully illustrated cook book!!!,Format: Hardcover,"After witnessing modern medicine make my mother sicker and eventually causing her to lose her battle to cancer even quicker I became determined to find a better and safer way to heal the body. For over 9 years my research has continually led me back to Ayurveda which then has led me to Sahara Rose. After taking one of her courses I then started reading her books. I was so excited to learn that she had created a cook book. I really needed something I could easily understand that would help me incorporate Ayurveda into my daily life. To my surprise this book has been sooooo much more than a cook book! The first 90 pages or so focus on every aspect of Ayurveda you need to know. The rest of the book is filled with wonderful dosha specific and tridoshic recipes that are easy to make and many of them take very few ingredients. A lot of the recipes include beautiful pictures of each dish which are not only a joy to look at but also very helpful. I like to know what my own dish should look like! The first recipe I made from this book was the Golden Mylk from the ""Potions"" section. After reading Sahara's take on why this drink is so great I just had to make this right away!! (Reduces inflammation and flushes fat.) Yes please! Thank you Sahara for all your hard work! My family and I will be forever grateful for the all the knowledge who have shared with the rest of the world!",4 people found this helpful,1
15,"Eat Feel Fresh: A Contemporary, Plant-Based Ayurvedic Cookbook",5,I use it daily,Format: Hardcover,"Best cookbook ever? Maybe. I looove this book! Super easy, great information, and all of the recipes I have tried (which are a lot) have all turned out perfectly.
When I eat the recipes from this book I feel better, especially my stomach and my energy.
I am already gluten free and mostly vegan, (with some meat if I cook myself or know where it comes from) but I still have trouble with my stomach. But not so much when I eat this food.
I have been sharing it all over my Instagram and have gotten some others to order it now as well. My boyfriend even likes the recipes! And this guy mostly eats pizza. (Literally EVERY meal he has to have some kind of bread, and cheese.) And the last couple of times we’ve cooked from this book he was so happy and satisfied, a miracle even.
I will continue to share this book and the joy it brings me.",3 people found this helpful,1
16,"Eat Feel Fresh: A Contemporary, Plant-Based Ayurvedic Cookbook",5,Plant-Based Ayurveda Made Easy!!!,Format: Hardcover,"I have been interested in Ayurveda for quite some time, picking through websites by practitioners and devouring books by experts. I stumbled upon Sahara Rose's website a while back and thoroughly enjoyed her take on Ayurveda, and her ability to convey the information in an understandable format. Needless to say, I was very excited when I found out she was releasing Eat Feel Fresh!

Rose makes it incredibly easy to understand how to incorporate Ayurvedic principles into your cooking, plus the recipes are delicious. Paryavasthita Chai Pancakes? Lakshimi Raw Rose & Pistachio Cheesecake? YES, PLEASE! The recipes are split into six sections: Breakfasts for Your Dosha, Six-Taste Bowls (each is a hearty meal in a bowl), Tridoshic Dinners (make a dinner that works for EVERYONE!), Snacks & Sides, Desserts, and Potions.

I cannot wait to work my way through the book and cook every single recipe. I highly recommend you give this one a try!",2 people found this helpful,1
17,"Eat Feel Fresh: A Contemporary, Plant-Based Ayurvedic Cookbook",5,Best Cookbook I’ve Ever Bought,Format: Hardcover,"I FREAKING LOVE this cookbook. I normally buy cookbooks and end up finding one or two recipes I like in it and the rest are a waste. This book is not only gorgeous in every sense (I seriously look at it everyday), but the recipes are phenomenal. Not only that but the entire beginning of the book goes into detail about Ayurveda and each dosha and every recipe is tailored to each dosha. Even if you aren’t into Ayurveda and just want delicious plant based recipes (that I might I add are pretty simple) this is the perfect book. You can tell how much effort the author put into it and it’s well worth the buy! I’ve made quite a few recipes already from the book and every single one has been delicious. Also, the recipes are low sugar which I’m a fan of. Sahara Rose really tailors to just about everyone in this cookbook and that’s coming from someone who has a lot of food intolerances and dietary restrictions. i can’t rave about this book enough, honestly. I’m impressed.",2 people found this helpful,1
18,"Eat Feel Fresh: A Contemporary, Plant-Based Ayurvedic Cookbook",5,Fresh approach to ancient principles,Format: Hardcover,"I almost jumped on the UPS man when he delivered Eat Feel Fresh today! I have an extensive plant based cookbook collection, & this is one I’ve been (im)patiently waiting to devour.

The photography is absolutely stunning, & the beginning of the book explains Ayurveda in a fresh, accessible way. If you follow Sahara & listen to her podcast, or if you have read other books on Ayurveda, you might be versed on the doshas, but I find that the extensive, fun layout makes it easier to go deeper & really pinpoint your dosha &/or any imbalances you currently have, & to know how to eat & live to get back to your body’s natural state of balance.

I got out a pad of sticky notes to mark the recipes I wanted to try, &—-well, I used the entire pad. I’m a Vata with an intolerance to grains AND legumes AND oats, & still found plenty of colorful, vibrant recipes I can make & thrive on. Every single recipe is vegan & GF, which is such a plus, & a rare combination in cookbooks.

Do yourself a favor & get lost in the pretty pages of this book (& check out Sahara’s prolific, astoundingly informative podcast). You’ll discover more about your true self & how to feed her/him in a way that supports your OWN unique dharmic design.",3 people found this helpful,1
19,"Eat Feel Fresh: A Contemporary, Plant-Based Ayurvedic Cookbook",4,"Beautiful, Informative, and non-scary recipes!",Format: Hardcover,"I LOVE this cookbook! I didn't expect the first 3rd of the book the be a welcome to Ayurveda and an explanation of the doshas, but it makes sense that it is there. The recipes look fantastic! I was afraid that they would not actually be easy or would have hard to obtain ingredients, but they are not scary at all! I have not tried any yet but I have incorporated aspects of them like using sweet potato slices for toast, and adding pumpkin and spices to my morning oatmeal.
The book is so beautiful that my kids and husband flip through it also as it sits on the coffee table. My teenage son may be more concerned with the pretty girl in the pictures than the recipes or learning more about his dosha, but if it gets him to accidentally learn then I am okay with it, lol!",2 people found this helpful,1
20,"Eat Feel Fresh: A Contemporary, Plant-Based Ayurvedic Cookbook",5,The best Plant-based Ayurveda book ever,Format: Hardcover,"Sahara Rose brings Ayurveda to life in her newest book. Her 1st book “Idiot’s Guide...” blew me away in the best way possible with how to understand what Ayurveda truly is and how to incorporate it into your life.

NOW, with eat feel fresh, you can incorporate the 6 tastes, the tri-doshic meals, and the dharma and dosha balancing into your life, as well as friends and family. Most of us know that the dinner table and food is what we share most, and being balanced is attainable by slight tweaks between meals. Honestly, you can feel the LOVE and HIGH ENERGETIC VIBE in the words & pictures Sahara shares. This colorful book has me even more excited on balancing my body, using food as my medicine to do it, as well as balancing my mind through Ayurvedic practices. From spices to chakras, this book is a gateway to increasing health, radiance, and light. Sahara wants this information shared with all, and delivers it in the most amazing fashion. Highly recommend to anyone interested in delicious recipes and Ayurveda. Don’t forget she also offers her free quiz online and resources on her podcast and website. This book is better than expected. Lots and lots of heart and belly-warming recipes (for those of us wanting to add more pitta fire, you know what I mean vattas and kaphas ;)",2 people found this helpful,1
21,"Eat Feel Fresh: A Contemporary, Plant-Based Ayurvedic Cookbook",5,Ayurvedic Cooking for EVERYONE!,Format: Kindle Edition,"This book is accessible, relatable, informational and beautiful. I bough this book after learning of the author through a webinar. I was really blown away with the level of information contained inside and enjoyed it from beginning to end. I have made several recipes from it and all have been tasty and left me feeling light and airy.....just to my Vata liking, including the Chia pudding yumminess! Thank you Sahara for this wonderful book. The photos and stories are so beautiful.",3 people found this helpful,1
