,book_title,star,title,format,review,helpful,sentiment
1,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Great recipe book!,Format: Kindle Edition,"This recipe book for fruit infused water is exactly what I have been looking for! For health reasons I want to eliminate sugar, caffeine and artificial sweeteners from my diet. Drinking plain water gets boring after so long. This recipe book gives so many options for flavored waters to suit your taste and give lots of variety. I love that the recipes are divided into categories, especially those used for detox. I also like that some of the flavored waters can be served hot or cold. This is a great recipe book.",74 people found this helpful,1
2,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,More than a recipe book,Format: Kindle Edition,"Even though this is really mostly a book which contains recipes for making fruit infused water, it also discussed the many benefits of drinking the waters. The recipes are also categorized by the benefits they offer the body which is great! I like that the ingredients are those which are commonly found at the local market. Great resource for my kitchen for sure! I would recommend the book to anyone who wants to be healthier!",78 people found this helpful,1
3,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Helpful,Format: Paperback,I thought (until I read the book) that all you had to do was throw some fruits into some water and viola there you go flavored water NOT.. you learn that carbonated water works best. Ice will pull more flavor than just water. and some fruits need a little heat to really get the flavors. helpful,22 people found this helpful,1
4,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,"OUTSTANDING ""MOUTH-WATERING"" FLAVORS!",Format: Paperback,"This BOOK is amazing..... I didn't realize how vast of an impact fresh fruits and fresh herbs had in flavoring water!
I am NOW experimenting with my own Flavor Combinations,
with OUTSTANDING ""MOUTH-WATERING"" RESULTS! WOW!

Currently, using Exotic Fruits from Asia and Brazil,
and Exotic Herbs from South Africa and Far East countries.
The Possibilities and endless......",17 people found this helpful,1
5,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Fruit infused recipe book,Format: Paperback,"This is a great book for different recipes for infused water, if you are on the go you can make the infusion up the night before which will give it more flavor. Bear in mind that the fruit or vegetables get muddy and rancid quickly so I recommend that you just make a batch in a infusion cup rather than by the pitcher!",16 people found this helpful,1
6,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Delicious and Nutritious Recipes that even the kids reach for!,Format: Paperback,"I got this book to go along with a water infuser. The recipes are varied and encompass a variety of fruits and veggies, which makes it easier to cater to my family's preferences and still keep something delicious and nutritious to replace high sugary processed drinks. I also purchased this as a Family Christmas gift, along with a water infuser....and they still like and use it, even 9 months later! :)",9 people found this helpful,1
7,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,It has amazing recipes that I would never of thought of to ...,Format: Paperback,I ordered the Fruit Infused Water Recipe Book to go along with my infuser water bottle. It has amazing recipes that I would never of thought of to mix together. It also has many recipes for specific needs. I would recommend this book to anyone wanting to have a better consumption of water infused with fruit and herbs.,11 people found this helpful,1
8,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Can't Wait to Try Them ALL,Format: Paperback,Simple book with good recipes. I have already my 6 different flavored waters from this book and I haven't even scratched the surface of this thing. So many good and tempting recipes that I can't wait to try them all.,4 people found this helpful,1
9,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Great for weight loss,Format: Kindle Edition,"Great & interesting recipes for weight loss. It is a breath of fresh air from the usual weight loss books. It puts an interesting touch to the taste of water if you don't like it like me. Have tried several recipes from the book & they tasted great. Overall, highly recommended.",24 people found this helpful,1
10,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Easy to keep up with amount your drinking,Format: Paperback,"Love the sleeve to help it stay cold, have used it on other bottles too. The best thing about this is the measurement on the side of the bottle. I can easily keep up with how much water I am drinking. The rubber on the top helps my smaller hands hold onto the bottle too.",,1
