,book_title,star,title,format,review,helpful,sentiment
0,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",5,Highly Recommended,Format: Kindle Edition,"Well, I am sincerely happy with the book. That’s why I wanted to share this review with you. The book is divided in two parts: the first covers the Plant Paradox Program in detail, whereas the second brings easy-to-prepare recipes divided in categories.

The first part of the book is where we learn the details about the program: the background and effects of lectins in our bodies, the common disrupters we may not be aware of, as well as a detailed explanation on how we should approach the program to bring back our innate happy and healthy life.

Please, the first part of this book can either be a refresher of the main book if you have already read that, or it can be the only book to read if you haven’t read that yet. That is, don't bother and get this one instead. You will find ordered and well-explained information covering pretty much all aspects of the program proposed, including the list of desirable food choices as well as the list of those we want to avoid in order to keep low inflammation. I say that because I ended up reading the main book twice and is still fresh in order to compare them both.

The second part of the book is quite delightful. Now, as I edit this review written previously, I wanted to add that I have prepared around 10 of the dishes in the book. First one was the ""Cream of Mushroom Soup"", and sincerely enjoyed the result. Then tried the delicious ""Brazilian Cheezy Bread"" which is a yummy snack together with a cup of tea/coffee. From the main dishes I have tried a handful and cannot say which one has been my favorite so far. My family loves the ""Halibut with Mushrooms"" and I personally enjoy cooking the ""Spinach Artichoke Lasagna"".

As a side note, most recipes seem to be straightforward, and the ingredient list idem. Also, it's important to note that the recipes will please both vegans and omnivorous.

Even though I am fortunate to be in good health that let me spend time outdoors to go on adventures and move freely, I sincerely believe this lifestyle proposed by Gundry can be a healing approach to foster better health even if we don't have any health issue. At first his viewpoints can be daunting, but it makes completely sense once we understand the ""whys"" behind it, as well as after complying with the program for only 2–3 weeks. I felt more vibrant upon starting his approach, my skin felt healthier after 2 weeks, my digestive system seems to work even smoother, and I feel lighter. Deep inside we all can find ways to create a more positive, meaningful and healthier lifestyle, nurturing from inside out. Nutrition, after all, is one of the foundation aspects. Besides Gundry's approach, I do enjoy Mercola's ""Fat for Fuel"" book and Longo's ""The Longevity Diet"" book. After all they are complementary and based on recent health studies/research.

Lastly, one of the ultimate readings, which I have just finished and has already influenced my thoughts deeply, is a book called ""No Recipe: Cooking as Spiritual Practice"" from Edward Brown. Combining the Plant Paradox Program principles together with inspiring reflections from Brown can definitely influence our perceptions around nurturing our bodies and souls.

Take good care,

Haical",698 people found this helpful,1
1,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",5,This doctor and one other have saved my life. ...,Format: Hardcover,"This doctor and one other have saved my life. If you have any autoimmune conditions this may work for you too. I used to have Hashimotos and I don’t after being on this diet for the last year. I no longer needs thyroid meds, my rosacea is gone, glaucoma is gone, prediabetes is gone, belly fat gone, lost 30 #’s. If you want your health back follow this diet. Dr. Gundry is my hero.",468 people found this helpful,1
2,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",5,High kicks and happy dances for Dr. Gundry's long-awaited cookbook,Format: Hardcover,"This is not your average follow-up cookbook to a best-selling diet book. As a former chef, I can scan recipes and know immediately if they are a hit or miss, and I've yet to see a recipe in this book that I won't be excited to create. Most ingredients will be found right in your neighborhood grocery store, which is another nod to Dr. Gundry's attention to detail. The recipes vary greatly and will appeal to many different tastes. Anyone that feels any degree of restriction in following the Plant Paradox protocol will be thrilled to dive into this book and start cooking. I'm inspired to just cook my way through from beginning to end.",567 people found this helpful,1
23,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",5,GREAT COOKBOOK!!!,Format: Hardcover,"I read Dr. Gundry's Plant Paradox book and was glad when this cookbook came out. It has wonderful recipes. Easy to follow instructions and the recipes are not too complex. Since I have been following his program, I feel so much better!! I highly recommend this book.",14 people found this helpful,1
24,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",5,A Keeper Cookbook,Format: Hardcover,"I tend to buy way too many cookbooks and then give them away or donate them because they have only 1-2 receipts I'll actually continue to need. This cookbook is Very Different is so many great ways. Chock full of all the info you need to follow this eating plan plus almost every recipe is a keeper. I literally haven't moved it off the kitchen counter since it arrived and I went through to attach ""sticky notes"" to all the recipes I wanted to try because I'm using it almost every day. Excellent reference source. Excellent information. He really takes the time to explain the science behind the ""whys"" of this eating plan. Definitely not a book I'm going to give away ever.",11 people found this helpful,1
25,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",5,Living Plant Paradox Strong!,Format: Kindle Edition,Continuing on the Plant Paradox journey with Dr Grundy... I lost 30lbs and feel great doing phases 1-3. Hoping this cookbook helps expand my menu options to keep me going.,13 people found this helpful,1
26,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",5,"Life saver, go straight to his ""YES"" and ""NO"" list. Panic, then relax, and enjoy your new health!!",Format: Hardcover,"What the heck do we eat?? After bulletproof, and plant paradox, its complexing to figure out what to eat. Gundry's cook book helps, and his ""YES"", and ""NO"" eat list is easier to xerox for shopping in this book! Definitely start with his ""Plant Paradox"" book, it's a life saving diet, and the side effects are....weight loss, and your OFF all pharmaceuticals!!! Thank you to Gundry, for making it easy by making the ""YES"" or ""NO"" list!!!!! You and Dave Asprey, and Kresser, and Dr. Ruscio saved my life!!!!!!!!!!",11 people found this helpful,1
27,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",4,"Specialty ingredients and LOL, Aztecs, Navajos, Mayans, Incas, Cherokees, etc. Are/were not humans?",Format: Kindle Edition,"There are some specialty ingredients. Inulin, specific branded products, monk fruit, xylitol, etc. The inclusion of branded products is what I disliked in the recipes.
I'm hoping the lectins information is accurate, because there is at least one sloppy history reference for now!
""pumpkins, acorn squash, zucchini, and butternut squash—is native to the Americas. Meaning, it contains lectins that humans have only been exposed to in the last five hundred years or so.""
Mmm... So, native Americans, and their descendants are unicorns, Martians or mutants? Maybe Latin American descendants have better tolerance for those plants but that don't make someone not human.
Please correct this nonsense.",10 people found this helpful,1
28,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",5,I'm healthier and happier. This cookbook makes it even easier to enjoy ...,Format: Hardcover,The Plant Paradox changed my life. I lost 30 lbs and lowered my blood sugar dramatically. I'm healthier and happier. This cookbook makes it even easier to enjoy the lifestyle changes of Plant Paradox. Most everything I've tried in here so far has been very tasty!,15 people found this helpful,1
29,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",5,love having so many recipes with photos,Format: Hardcover,love having so many recipes with photos .....recipes are short simple great for quick prep work.,17 people found this helpful,1
