,book_title,star,title,format,review,helpful,sentiment
1,The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love,5,"Feeling Full, Inspired, Healthy and Losing Weight! Thanks Rocco!!",Format: Hardcover,"I purchased this book hesitantly because of the not so great reviews. I started this 4 days ago and absolutely love it. Yes, you do have to order a lot of the ingredients (ie: Shirataki Noodles (yum!!) and Egg White Powder etc) on Amazon but they arrive very quickly and it saves you time from trying to find them in stores. The book is very easy to read and understand and it provides you with a shopping list for every 7 days including daily meal plans and super quick, easy and delicious recipes. So far, I am down 5 lbs. I seriously love the recipes and how easy they are. I make enough for everyone in my family at dinner time and then eat what I need to eat, according to the book, throughout the day. My kids and husband love the recipes too. Yes, this is going to be a more expensive shopping trip but it is worth it. Its worth the little time you put into it and its worth making the healthy change and its worth it to see real weight loss results. So the pictures are pink in color, who cares...Some books don't even have pictures!! The food is delicious and that's all that matters to me.

My complaints:
The grocery shopping list is very very long (lots of produce items ...like a page long) and it took me forever to find and get everything from the grocery store...I got somewhat frustrated and am not looking forward to going back next week. I did however just use my printer to make a copy of the shopping list so that I could cross things off as I went
I am not a big fan of the every morning Chocolate Protein Shake. I think I might add some vanilla extract and/or some agave nectar to it because it tastes like unsweetened chocolate powder and its so biter.
The daily meals don't have page numbers to the recipes next to them. So, I have to search for them and write the page number next to each meal so that it makes my life easier.
I ended up ripping out all the recipes by category and then stapling them together so that I could easily have them on hand, instead of searching through the book for everything. I also ripped out all the shopping lists and daily meal plans. This made everything much more organized and easy for me.

My YAY's:
Every meal is super fast to make
Every meal is filling and I never feel hungry
Almost every meal is super delicious...I am serious!
I can make them to take with me in the car or wherever I go...very easy
Don't have time to make your meal? There are substitution options like Lean Cuisine etc
My entire family loves it
You eat breakfast, 2 snacks, lunch, dinner and dessert
I feel amazing and happy and inspired
My body and mind are changing for the better
I am on the road to weight loss success and learning how to eat healthy for my future",27 people found this helpful,1
2,The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love,5,Lost 10 pounds in the first 2 weeks and am still losing after 2 months.,Format: Hardcover,"5 stars because this book works.

I never thought I'd be able to regularly eat less than 1000 calories a day and not go crazy. My wife and I tried this diet out as soon as the book arrived. You just can't argue with the results ... I lost 10 pounds (and a waist size) within the first 2 weeks. This book completely adjusted my attitude and way I view my diet.

Granted, the diet as written in the book is not easy (at least initially):
* The shopping is hard (and expensive) as some of the items are very difficult to find or are only available at ridiculously expensive stores (like Whole Foods) ... additionally, there are mistakes in some of the shopping lists (which I hope they fix for the second printing)

* The cooking is (initially) hard as there are ALOT of new recipes to learn ... especially for the first week. However, since most recipes only involve 4-5 ingredients, they are actually very simple and quick once you get used to it. By the end of the first month, I had cooked everything and preparing meals was a lot simpler/quicker than my diet before this book.

* I still had cravings. But since that's part of any diet, I don't hold that against Rocco ... it's my own fault for getting used to eating large quantities of bad food. However, the cravings I've had on this diet were a lot less than any other diet I've been on. Also, since my target weight of 250 lb is much larger than the average person, Rocco does state that the diet isn't optimized for someone my size. However, if you read the diet portion carefully, you'll note that Rocco recommends supplementing with an extra, healthy snack. For me, I added the broccoli+humus snack every night and that kept my cravings at a manageable level.

* After about a week, I started feeling really, really good. I'm not sure if it was the weight dropping off, or the nutritional balance of the diet (or a combination of both), but I just feel a lot healthier and more alert.

Once my wife and I started the second month, we wrote our own meal plan based on his. The major changes we made were:
1.) Swapped recipes we hated for recipes we really enjoyed. Goodbye rutabaga (*yeck*) ... hello Salisbury Steak at least once a week.

2.) Swapped recipes that we found difficult or time-consuming for simpler recipes we didn't mind regularly eating. Example: while the Green Monkey is delicious, the prep and clean-up time are astronomically higher than cheese & apples, or broccoli & humus.

3.) Swapped recipes with expensive or hard-to-find ingredients with recipes with common/inexpensive ingredients. I can't think of a specific example at this second, but this really made shopping a lot faster and cheaper. Our weekly grocery bill was cut in half and our total shopping trip time was down to less than an hour (plus we could get away with going to only one store).

4.) Swapped expensive ingredients with cheaper ingredients. Sliced turkey from the deli case is roughly $12/lb where we shop, but a roast chicken @ Costco is $5 and yields roughly 30oz of meat. And frankly, I think the roast chicken tastes much better. Another example was swapping the mango (in the ""rice pudding"" for whatever fruit was in-season / on-sale).

5.) Swapped in recipes that could be doubled. We couldn't find a small enough bok choy for a half portion of the Turkey Stir-fry recipe, and we hate wasting food. So every other week, we make a normal portion (which counts as double if only 2 people are eating), and save the other 2 servings for a night of the week that we both work. The tea is another great example (since I find zesting half a lemon annoying). My wife also does this with several of the lunch soups and salads as she feels that a double portion is about as easy to make as a normal portion.

6.) Pencil in the right amounts on each page. My wife took a few minutes after we got the book and penciled in the correct ingredient amounts for 2 people. It took her less than an hour (converting from fractions of a Tablespoon to Teaspoon is not always clear), but we don't screw the recipes up anymore.

... granted, we are now eating less variety, but identifying our favorite, easy dishes and having them once a week (or twice a week in case of left-overs from the double-up trick) makes this diet a lot less time- and $$$-intensive. In order to keep the calorie count accurate, we ranked our favorite meals and then matched them with compatible snacks and desserts that fit within the daily calorie targets. We wrote the ingredients on the back and use them to quickly create the shopping list for the week.

So yes, this isn't a magic cure or a perfect, effortless solution. But no diet is, and anything worth doing will take some effort. Also, can you really put a price tag on getting your health/figure back?

If you are serious about weight loss and enjoy cooking, you really need to at least give this a try for 2 weeks.",111 people found this helpful,1
3,The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love,5,So far I've had AMAZING results!,Format: Hardcover,"I started on this diet on Monday and as of today (Wed 2 full diet days later) I have lost 5.4 pounds. The food is good. The shopping is difficult because you have to find items you have probably never bought before. All of the items on the first week's shopping list were more than I was used to spending at the grocery store. If you live in a small town like I do, you will probably have to head to the big city grocery store to get several of the items on the list. I have like most of the food on the menu. If I don't like it or don't want to try it I have just substituted something of equal nutritional values (either from the book or the internet). My husband and seventeen year old daughter are also doing this with me. They too have dropped weight quickly. My husband has dropped 3 pounds the first 2 days (he's been drinking wine at night) and my daughter who is a dedicated basketball player (so she exercises a lot) has lost 8 pounds in 2 days! We have all felt a little hungry but nothing so bad that we could wait for the next meal or snack. All of us are lovers of food and big eaters but this hasn't really felt like a diet bc the food has been good and filling. You get dessert every evening! You are expected to eat every 3 hours (daughter and I have done, hubby has not). My husband has been walking for 20 minutes a day I have not added any exercise, yet. The book does say you should do 30 minutes a day six days a week. Maybe I would have lost more if I had been exercising like my daughter. You have to give up all sodas (diet, too). That has been the hardest part for me. All recipes are quick to make (within 30 mins).",12 people found this helpful,1
4,The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love,5,Great results and creates awareness,Format: Hardcover,"I don't like to write reviews the moment I buy something like this, because I would rather see what results I get before I post.

I have been following the recipes from this book since January 20th of this year, and have lost a total of 24 pounds. For the first 3 weeks, I loosely followed the diet, the approach, as I stayed at around 1200 calories per day. On my 4th week, I started following the book and I can say that the fear that I had of feeling sluggish, tired, and unmotivated due to the low amount of calories, has not happened. I have been exercising regularly and have felt great before and after every run, or every exercise that I do. I have played basketball with friends and have not once felt that I am going to faint, or that I should not be playing.

The reality is that so far, it has worked for me. There is one thing that I have to say about the book which led me to the title of my review. The book to me has not been an end all, be all book. By reading carefully what the book says, I have become aware that I can tailor a meal plan for myself (due to my schedule), and still continue losing weight. The book created awareness that there are other ingredients that I have never used, or seen. Also, it has made me aware that exercising is key to any diet.

Folks, there are no magic pills, no magic anything. I have been dieting for the better part of 35 years and have lately learned that I have to eat well, not diet; and I have to exercise and have an active lifestyle. All those crazy fad diets, cleanses, etc, which say you can lose weight and not exercise, will end up hurting you in the long run, by creating a false sense of security.

This book is an educational tool. Look at it and try to read into what Chef Rocco says. If you don't like something, change it...it is that simple.

Again, the results for me are there. I feel happy and healthy, 24 pounds later. Still need to lose another 23 pounds, so I'll post an update once I get there...",13 people found this helpful,1
5,The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love,5,Chock full of info and great recipes,Format: Kindle Edition,"This book is very well laid out and well written. It is packed with helpful and practical steps anyone can take to lose a pound a day. He lays everything out in great detail, and includes several recipes as well to put everything into practice.
Most importantly, you need to follow the instructions and advice. It is not difficult to do, but people like to find excuses not to do these things. It could be fear of change or lack of confidence, but if you really want to change and lost the weight, you need to put a bit of work into it. This book makes it easy, but you still have to follow the steps and take action.
I definitely recommend it - if you are committed to weight loss, this book will get you to where you want to be. It will show you the steps and tell you how to get there, you just need to walk down the path.",5 people found this helpful,1
6,The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love,5,Awesome Cuisine; Meal Plan Delivers,Format: Hardcover,"I tried this plan for 28 days as outlined in the book. Good news: the recipes are absolutely some of the most delicious, easy to prepare dishes I have ever made! Great news: I lost 7 pounds the first 7 days! Bad news: I lost only 3 more pounds the remaining 21 days. If you are someone wanting to lose a moderate amount of weight in a short period of time safely, this is the plan for you. The recipes are simple and I was already familiar with a good number of the ingredients. I love that the strawberry shake and strawberries with yogurt cream desserts are sweet but low-calorie and non-fattening! I even made the majority of these recipes for my family since the serving is four per recipe and they were enjoyed by all. However, since I had more than 10 pounds to lose, I chose to move on to another plan which would give me the consistent results I need. My only caveat is the use of artificial sweeteners. I chose to replace them with stevia. I will continue to use these recipes even after my weight loss is complete as they are just that darn delicious! I am very happy I purchased this book and now am a Rocco fan. Keep the great food coming!",3 people found this helpful,1
7,The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love,5,"Customize it, and you will own this diet like a boss",Format: Kindle Edition,"I'm 9 days into this diet, and so far I am down 7 pounds. I am not a fad dieter, so I don't have a lot of experience in this category. A lot of people also complained of the ingredients on the list, so I will preface my review by saying I like to keep healthy, eat clean when possible, but I don't go over the top with it. Here are my observations and advice about this diet:

- Yes, the groceries will make you rack up a pretty penny, but it will be worth it. You will also be buying a lot of items which will last you a long time. I split mine in half, and spent about $200 for week #1. I'm in week 2, and I think I'm going to be able to keep going with what I bought last week well into next week.

- Give the diet a week, and learn what you like and what you don't. Then spend time to make your own customized meal plans, using this diet's recipes and calorie counts. You can then make your own shopping lists, and customize the diet to the things you love the most. And use the ingredients you maybe didn't use in the previous week because you didn't care for the recipe.

- Yes, some of the ingredients are going to be foreign. Here's where it's kind of exciting -- challenge your taste buds! If your local supermarket offers a ""Shop for You"" feature, utilize it! I did this for the first time, specifically for this diet. Someone else ran around the store looking for the items, I just went and paid for it. Or you could just purchase off of Amazon. Either way, this really shouldn't be too much of an obstacle.

- If you work during the day, use the easy-to-carry snacks like shakes. Utilize some of his suggested name-brand frozen foods for a fast lunch, if need be.

- If you don't like some of the ingredients (low fat; fat free; sugar free; etc.), skip them, add your own (I add full-fat cheese), but modify the amount to still make the calories. Or go over, and it likely won't set you back, within reason.

This diet is truly awesome so far. Seeing the progress on the scale makes me keep going, whereas I've dropped off of other diets immediately, just because progress took time. This is a really great way to get yourself motivated and into the groove -- all the while, eating lots of fruits and veggies. The food is so healthy!",9 people found this helpful,1
8,The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love,4,A lot of good stuff in there,Format: Hardcover,"I've been on the ""Pound a Day Diet"" for about a month, and I've lost about 12 lbs. So, it's not really a pound a day after the first week, but if you read the introduction, he does say that. I've gotten a lot out of the book. Some great finds include:

1.) The shirataki noodles, which are a no-carb, high-fiber asian vegetable noodle. These are super helpful when added to soups and stirfries.

2.) He also got me way more into kale, which is a terrific food. He offers a lot of different ways to cook ingredients so the flavors and textures complement each other. I now find myself chopping up kale and ading it to all sorts of things and really enjoying it.

3.) I thought I didn't like grapefruit. You'll be eating it every day on the diet and it's another huge help for getting vitamins, hydration, and feeling of fullness between meals and only 28 calories per whole fruit. Get the ruby grapefruit, It tastes sweeter and is more nutritious than the lighter model. This item is one I would buy at a Whole Foods.

Once you go through all the recipes, you start to understand how foods can be easily combined to create new dishes, and you get a much better idea of how to control your caloric intake, while keeping up the nutritional content of the food.

The first week is daunting, because the shopping list seems enormous, and a lot of the things on the list may be unfamiliar to you (they certainly were to me.) Please be aware that the shopping lists are actually enough for four people, although he states they're for two. So if you're doing the diet alone (like me) then only buy 1/4 of what's on the list, and make sure you get the bulk of it at a more inexpensive grocery store. If you shopfor it all at Whole Foods or its equivalent, you'll have a very large bill at the end of your shopping trip.

I will also point out that you will be drinking a chocolate protein shake every morning for the first month. A lot of the unfamiliar items, e.g. psyllium husks, triple fiber, monk fruit extract, are used in this recipe. Don't be daunted. The shake really helps you stay full to snack time. It's one of the best finds in the diet.

I'm not crazy about the fake sugar, but in the beginning, if you're a sweets eater, these snacks and desserts can really get you over the hump. You can always swap out a more vegetable-based snack for these and get even more nutrition.

I really recommend this diet. It will give you a lot of tools once you're off it and if you're like me, getting those inital few pounds off quickly is a real motivator.",5 people found this helpful,1
9,The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love,5,"A cook book with weight loss benefits for home,office,and non dieting family members",Format: Hardcover,"My husband and I are both right around 50. After gaining unwanted pounds, we both decided it was time to loose. I was excited by this book philosophy of needing to see results to create incentive. Sure enough, we are loosing right on schedule after only a week. That's all well and good, but here's the best part: This food is good! I have done other diet plans successfully, but the food and recipes became monotonous and bland. Once I reached my goal weight, I quickly returned to old habits and foods with more (unhealthy) flavor. The difference? This book is created by a chef, whereby other plans created by nutritionists just don't compare in taste. And after all, shouldn't we enjoy our food?

I am not a health nut. The thought of protien smoothies, frankly, grossed me out. However, I was ready to try it for the sake of my weight loss goal. The chocolate breakfast smoothie wasn't bad! I discovered, however, that on days when I play tennis, it didn't work for me. Guess what?! The plan is flexible, so I have the breakfast sandwich instead and it's perfect. Then the crazy thing happened.... Today, I craved the chocolate smoothie. WHAAAAAT.!?!

As to the lunch and dinner meals, absolutely scrumptious. Let's be honest, everyone has different tastes. There are some recipes we prefer more than others and that's ok. If we dodn't care for one recipe listed on the menu, I substitute one that we prefer. I find one that is close in calorie count and enjoy. Lordy, once you try the chicken enchiladas that take 5 seconds to make in the MICROWAVE!!! So fast, easy and to die for!

I am a snacker. That's how I put on my weight. On this plan, I'm eating every 2 1/2 hours. I'm snacking my way to losing weight. Again, some snacks in menu didn't satisfy me, especially in the afternoons. I learned which ones filled me up and use those. Again, from the woman who doesn't like smoothies, the banana smoothie and almond smoothies are so filling and delicious. I also like that it takes me a while to drink them, so it helps with my old ""boredom"" snacking problem. Honesty check...green smoothly not my thing and that's ok.

We have a 14 year old son who does not need to loose weight. He eats what we eat and I add some sides or increase his portion size. I'm not cooking two different meals.

Shopping? Ok, a little cumbersome at first, but like anything new, it gets easier with experience. I know where everything is after one week and just not a big deal. Cost? Your first trip will be a biggie, but a lot of things you buy the first week will last you for weeks to come. You just have to commit to restocking your pantry/fridge with the new lifestyle.

Bottom line, fantastic healthy food in correct portions that work well for those who work from home or from the office (most meals are for 4, so leftovers are packed up for lunches at the office). Oh yeah, you loose weight as a side effect! What could be better? Thanks Chef!!",9 people found this helpful,1
10,The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love,5,YES,Format: Hardcover,"YES this food plan works and if you don't want to cook Rocco has an alternative frozen choice for every recipe. I have been on The Pound a Day Diet for 25 days and as of 3 days ago I had lost 23 pounds. The book is written in understandable language and gives you a clear menu plan and a follow up maintenance. For some reason Rocco.s explanation of nutrition and calorie consumption made sense to me. It has been a complete lifestyle eating change for my husband and myself, but an enjoyable one. We are not hungry, but if that ever happens we know what to eat to help and not hinder. I have been introduced to some new foods, most I like and will add permanently….some not so much, so we substitute an acceptable alternative. This diet has helped us see how important portion control can be and how eating healthy makes you not only lose weight, but you have more energy and feel so much better in all ways. Thanks for sharing Rocco!",2 people found this helpful,1
