,book_title,star,title,format,review,helpful,sentiment
1,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,Unique ingredients for special treats,Format: Hardcover,"Great recipes that cater to a myriad of food sensitivities. You’ll need a pantry stocked with garbanzo bean flour, applesauce, xantham gum, and other more unique ingredients.",,1
2,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",4,Pros and Cons,Format: Hardcover,"This is partly a recap of other reviews, but I felt strongly enough about it to add my two cents.

Yes, it's a beautifully made cookbook with mouthwatering photos, plus it's pleasant to read. The recipes are for both good comfort foods and ones with a twist. They all sound fabulously yummy.

However, I got a bad feeling when she insisted repeatedly that you had to follow her directions exactly and to expect some failures. Any experienced baker knows that such things as humidity and altitude affect baking, and we don't all live in NYC. I've been baking gourmet desserts for over 20 years. Following her directions exactly, my results were less than perfect, and I've had to make modifications (mostly concerning yields/pan sizes and cooking times). Apparently she didn't have anyone do home-kitchen tests. However, once you have a recipe figured out, the results are delicious.

I have recommended this book to others...but with caveats. I wouldn't recommend it to an inexperienced baker. And don't whip it out to make a recipe for the first time for the bake sale tomorrow!",9 people found this helpful,1
3,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,great for gluten allergies,Format: Hardcover,like this book because it allows me to cook for those who have gluten allergies. got from a great seller.,,1
4,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,"Even if you aren't vegan, these cupcakes are DELICIOUS!",Format: Hardcover,"Had to own this book after my sister-in-law introduced me to it, and I actually tried the recipes! It is hard to believe these are not full fat, full eggs/butter/milk! Delicious. We aren't vegan but we're dabbling in gluten free, and so it is nice to know these recipes are truly yummy. Our favorites so far are the gingerbread cupcakes and also the carrot ones!",,1
5,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,Best Tasting and Best Looking Vegan Delights,Format: Hardcover,"I own a small, artisan bakery in the Mid-South. There are a few enlightened souls who know what the word Vegan means, but most of my customers think Vegan means Gluten-Free (strange but true!). SO, if you want to bake VEGAN - this is your cookbook. BUT if you want to bake VEGAN AND GLUTEN-FREE, get ""Babycakes Covers The Classics"" because the recipes are TOTALLY GLUTEN FREE. I own BOTH books, and I LOVE them dearly. Erin shares her SECRETS, and if you follow her directions EXACTLY, you will make some of the best VEGAN AND GLUTEN FREE treats in the world.",One person found this helpful,1
6,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,arrived as described,Format: Hardcover,arrived as described - purchased as a gift,,1
7,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,Awesome!,Format: Kindle Edition,My first time trying to bake anything vegan. I was very apprehensive at first and was expecting it to taste like cardboard or coconut oil (which I hate) but I was pleasantly surprised it tasted just like non vegan counterparts if not even better.,One person found this helpful,1
8,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,Really fun book,Format: Hardcover,Lot of the recipes use spelt so they are not truly gluten free but they are all treats. I use the biscuits for turkey burger buns and wow friends with the raspberry scones. It is a very clever book and I would love to visit the bakery if I visit New York again. Good job.,One person found this helpful,1
9,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,This cookbook is awesome,Format: Kindle Edition,"This book has easy to follow instructions with Definitions of all the new words, that I am learning. I have told many people about the recipes as well as the ease of following them. I have never made such good cookies.",,1
10,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,Five Stars,Format: Hardcover,Love Erin McKenna's cookbooks.,,1
26,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",4,Lovely Cakes,Format: Hardcover,"Okay, so not all gluten-free, some ingredients are costly (not the author's fault!) and some not easy to find (also not her fault). That said, I'll be forever grateful to this book for teaching me how to make lovely cakes. I've even found the confidence, as a new GF dieter, to experiment a little with her recipes. It has been invaluable to me to see how to use the inexpensive Bob's Red Mill All Purpose Flour to make cakes/muffins without having to buy still more ingredients. (I'm lucky, I don't find the beany taste strong or offensive, and bean flour is the healthiest flour we can eat --and if you use lots of vanilla, you might not mind it either.)",,1
27,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,This cookbook is more about the idea than the real recipes.,Format: Hardcover,"I've been to Babycakes in NYC in the last month....and these aren't the same recipes. So I would like to make a couple of suggestions.

If you are going to use a baking mix, use Whole Foods All-Purpose Baking mix, and then cut it with at least 1/3 Kinnikinnick millet flour. The reasons for doing that are threefold:

1.) Truly gluten-free. Bob's Red Mill is not.

2.) No bean flours. (Nasty, and that's not what's in Babycakes' fabulous, non-beany cookies, or at least not in the amounts Bob's Red Mill uses.)

3.) Millet is really good for baking--and I'm sure that's what they use, because I was eating one of their frozen cookie sandwiches on the way to Coney Island; at about the Brighton Beach stop, I was suddenly chewing on a millet seed.

Also, this is probably the recipe for the mint icing used as the Babycakes gluten-free cookie sandwich filling--it tastes like vaguely like coconut.

Coconut butter (Mine got melty on the subway in 90 degree weather.)
Mint essential oil (Extract is nasty. Thanks to Posh and Becks' recipe for gf Girl Scout Thin Mints for that information.)
Agave Nectar (No sugar rush from anything other than the Coney Island Cyclone)
Cocoa Butter (There is a vaguely chocolatey taste in there.)
Green food dye (They are green.)

Babycakes is a fantastic bakery. I'm just not sure their cookbook is worth picking up, unless you're willing to tinker with the recipes.",3 people found this helpful,1
28,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,YUM! YUM! YUM!,Format: Hardcover,"My 8 year old son thanks you, Erin! And so do I!

The chocolate chocolate chip cookies are awesome! The Chocolate cupcakes were fabulous! The coconut oil makes ALL the difference.

Yes, some of the ingredients are more expensive and hard to find but they make all the difference in how wonderful these taste.

Try [...] for bulk coconut oil and agave nector at reasonable prices. Other gluten free products discounted as well. Shipping is always 4.99 so stock up! Evaporated Cain Juice available at Trader Joe's.

Another good cookbook is The Gluten-Free Vegan by Susan O'Brien. No spelt flour recipes!",One person found this helpful,1
29,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,Love it,Format: Hardcover,"i came past this book then I was looking for healthy but really yummy treats,
I live in Australia and cant cant go visit her Babycakes Bakery so im making it all at home,
all the recipes are so easy to follow and the way she has the book makes it so much fun I LOVE IT and if you like your sweets and want to be healthy then you will love it just as much as me :)",3 people found this helpful,1
30,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",4,A few tips,Format: Hardcover,"1) Melt the coconut oil before measuring
2) Buy unscented coconut oil
3) Buy a few cups/tblsp of the ingredients in the bulk foods section to try out the recipes before investing in large quantities. I was able to get many recipes worth of xantham gum for $.79.",4 people found this helpful,1
31,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,Yummy recipes and very helpful hints for a new vegan baker!,Format: Hardcover,The helpful hints and beautiful colors made my friends want to all try these recipes!! Highly recommend this book for beginners,,1
32,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,Love the bakery!,Format: Hardcover,"Been to the bakery, so decided to purchase the book since everything is sooo good there. Fairly easy recipes, and the few things we've tried came out pretty well. Anxious to try more.",,1
33,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,Love to cook,Format: Hardcover,"These are great! I have made 3 recipes and loved them all, even the kids that don't have allergies love them.",,1
34,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,Five Stars,Format: Hardcover,Beyond delicious for any healthy gluten free foodie,,1
35,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,My favorite baking book,Format: Hardcover,"I have made, probably, every recipe in this cookbook. They are easy to make and everyone loves them. Most don't even realize they are eating GF :) I have her second book too which is also easy and amazing. I haven't mastered the cupcake icing recipe yet but everything else turns out just like she says. I recommend this book to anyone who bakes GF.",,1
37,"BabyCakes: Vegan, (Mostly) Gluten-Free, and (Mostly) Sugar-Free Recipes from New York's Most Talked-About Bakery: A Baking Book",5,must have for everyone who craves delicious gluten-free desserts,Format: Hardcover,"if you miss truly delicious desserts because of a restrictive diet, this is an awesome book. the down side is you will have to buy a million ingredients you never heard of before, but anyone who is on a gluten-free diet or loves someone who is already knows this and has half of them already. don't scrimp and substitute. following these simple recipes exactly will net you unbelievable results. you will cry when you bite into the cookiewitches. unbelievable!!",2 people found this helpful,1
