,book_title,star,title,format,review,helpful,sentiment
1,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,5,Love the concept,Format: Hardcover,Love all Jessica's books. I don't always agree with some of her nutritional components but I just over look that and add my knowledge to what ever I am doing. No biggie. The spiral binding is great. Tip: I look for baby food on sale and purchased in bulk so I can just grab and cook! My copy was used and just like new. Arrived on time and no damage,13 people found this helpful,1
2,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,5,Its a PUREE REVOLUTION-- and I've made every recipe in the book!,Format: Hardcover-spiral,"This little book has revolutionized the way we eat in our home. I am so thankful that I found it.

First of all, lots of reviewers are very passionate about the whole philsophy of how we feed children. There are many who feel strongly that ""hiding"" vegetables isn't a good idea and that children should eat vegetables ""as they are."" I respect that opinion-- but that is NOT a fair review of this book. That is a separate philosophical issue that you should resolve in your own home and for your own family.

Deceptively Delicious states openly, on the front cover in fact, that its purpose is to get children to eat good food. That's it. So, to review this book, I think its fair to focus on how well it meets its stated goal. In other words, I'm going to review the specific recipies and the strategies:

RECIPES:
I have made every single recipe in this book. They are mostly ""YUMMY!"" with a couple that are just okay. The standouts, by far, are: spagetti with meatballs, chicken nuggets, soup, macaroni and cheese, chocolate pudding, burgers, and grilled cheese.

THE STRAGETIES:
I am a mother who works full time, and I am an average cook. No special kitchen skills. I make my purees on Sunday nights after the little one is asleep, while I chat in the kitchen. It does take an investment of time and a willingness to grocery shop and prepare food. However, the stragies have truly revolutionized the way I think about food and children. I still offer ""traditional"" vegetables in ""pure"" form, but I also have changed my thinking about what goes into my child's body and how to best nourish him. Every dish, no matter how simple, contains wholesome ingredients and that makes me feel good.

Bottom-line: there are lots of reviewers who may judge these ""deceptive"" strategies, but I'm willing to bet my kiddo has eaten more broccoli, cauliflower and carrots this week than most kids eat in a month!",58 people found this helpful,1
3,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,5,A Must for Your Kitchen Cookbook Shelf,Format: Hardcover-spiral,"My toddler actually has no problems eating vegetables, but it's nice to find creative ways to increase intake whenever possible. I've only used a few recipes so far, but I love this book for its organization and presentation. The information is organized so clearly and the style of the book looks like old Betty Crocker manuals from the early 1900's (but without the rampant sexism! Win!). All of the relevant information you could want, from charts on how to prep vegetables; how to stock your pantry and kitchen; nutrition guidelines; tips from other parents; I could go on and on. Every household with toddlers and children should have this book.",4 people found this helpful,1
4,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,5,one less food headache and they are eating healthier.,Format: Hardcover-spiral,"I have children that are extremely picky. I can't figure out how in the world to get them to eat vegetables, or better yet, try them. So for now, I'll sneak them in their food. My favorite is the grilled cheese with a layer of pureed squash or pumpkin. Or the mac and cheese with the same. The kids don't notice (unless you over do it). I feel better that at least they are getting a better intake a vitamins and minerals without an argument.",5 people found this helpful,1
5,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,5,Love this book - it works!,Format: Hardcover-spiral,"Like this cookbook for so many reasons. Have several cookbooks that base their recipes on purees. Like this one because the purees are flexible and varied. Most of the recipes have turned out vary well.

Baking the choclate chip bean cookies now, although using pecans instead of walnuts. The cookies have proved popular with even non health food eating people! However, I did change the recipe a little in that I chop the beans after draining them. By the time one chops them some are rather mushed but that works out just fine.

Family also loves the avocado choc pudding an unlikely combination but really works. We process it until almost smooth. Husband likes a little bit of texture to it.

Have found breading recipes don't work as well as hoped.

Spinach in brownies, great disguise! Turned out more like fudge though. Very moist and dense.

Love some of the muffins. Peanut butter Jam muffins were great. Made with almond butter. The ""jam"" I used was simply dried apricots soaked overnight and then pureed. No sugar added so lots of nutrition as well as sweetness.

Note: the cream cheese centered muffins/cupcakes are nicknamed ""ugly muffins"" in our house. Taste great (and I reduce the sugar as I so in most recipes) but the spinach is very visible. Tends to separate out and be in a layer after the baking and the color is horrible. Hence the nickname ugly muffins. But my son is picky about texture and taste so if can get one bite in and it tastes good we are ok. Anyway, we like them and so many veggies in one sweet treat!

My son is picky enough that he doesn't eat most of the items used to disguise the other items. Example: He doesn't eat mac and cheese! But this recipe book has enough ideas that I have found new ways to sneak his veggies in.

He is 3.5 and now knows I sneak them. He has a choice to eat them straight or disguised and always chooses disguised.

By the way, we did everything by the books to start him right, including eating a wide variety of things when nursing and pregnant and introducing him to a wide variety of foods as a beginning eater. Hopefully he will outgrow this pickiness but for right now I am just concerned that he gets his nutrition.

So my motto is never let a desert go wasted - make them all count with disguised veggies! No his diet is not made up of deserts, but they are certainly a great place to increase his veggie intake.

One of my favorite things about this book, in comparison to others of this genre, is the flexibility of purees in given recipes. Also, it is a beautiful cookbook! I, too, am convinced some of these recipes simply don't work and try to imagine that they were actually tested before published. But so many great recipes that do work for us that they more than make up for the ones that don't work!",11 people found this helpful,1
6,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,5,Love all the recipes,Format: Hardcover-spiral,"Love all the recipes! Getting my family to eat healthy foods is a nightmare, but with these recipes they have no idea all the veggies they are actually eating! The recipes taste great, and you cannot even tell there is healthy fruits and veggies in them. I would recommend this for anyone with picky eaters in the family!",2 people found this helpful,1
7,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,5,Delicious Recipes even if you Love Your Veggies,Format: Hardcover-spiral,"I purchased ""Deceptively Delicious"" back in January but was initially tentative about trying this cookbook due to the fact that I had to make a puree for every recipe. Once I got over that hurdle and decided to make the ""Green Eggs"" I was hooked. I then wanted to try other recipes because the eggs were so delicious. They are the easiest recipe in the book and basically require you to sauté baby spinach, which you then incorporate into scrambled eggs. You do need a small food processor to make the recipe but you could also use a blender.

The next recipe I tried was the ""Ranch Dressing."" It was good on salad but not as good as a dip. The ""Greek Dip"" was delicious for dipping veggies (celery was especially good) and crackers not to mention pita bread. The recipe uses chickpeas and artichoke hearts and I found I could make it in a blender. My food processor only holds about 1 cup of ingredients so for this cookbook you may want to buy a larger food processor.

The last two recipes I tried include the ""Turkey Chili"" and the ""Oatmeal with Sweet Potato."" For the turkey chili you need to puree carrots and red bell peppers. I had never steamed red bell peppers before but it worked well and at the same time I cooked the carrots in the boiling water. Less to clean up later! For the turkey chili I added an additional tablespoon of chili powder and 2 teaspoons Emeril's Original Essence because I felt the recipe needed a little more seasoning for adults but it was perfect for kids. I think the reason the recipe needed more salt is because it calls for low-sodium chicken broth. Instead of the kidney beans I used some butter beans I had in my pantry. For the turkey recipe it would have been helpful to know how many carrots and red bell peppers you would need. I found you needed about three carrots and 1 ½ bell peppers. Other than that fact the recipes are very easy to make and don't take as much time as you would expect them to. The oatmeal recipe is delicious with the addition of pumpkin pie spice and peanut butter.

All of the recipes I've tried so far have worked very well which has encouraged me to try even more. Since I have more sweet potatoes left over the ""Hot Cocoa"" with pumpkin pie spice sounds delicious. You may also want to try ""Blueberry Cheesecake Cupcakes with Yellow Squash and Spinach,"" ""Frozen Yogurt Pops,"" ""Macaroni and Cheese,"" and ""Chicken Salad with Cauliflower.""

Once you make a puree and realize how easy it really is you will love this cookbook! Highly Recommended even if you love eating your veggies. I try out new recipes every week and this is one of my favorite cookbooks this year.

~The Rebecca Review",2 people found this helpful,1
8,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,5,Nieces Love the Recipes,Format: Hardcover-spiral,Our niece does not like to eat vegetables. We purchased the book for her mother and she is able to sneak vegies into the foods and our niece is none the wiser. I saw a segment on the Today Show and remembered how impressed I was with the ingredients used and how the children were eating the food and liking it. Nice recipes for the family.,,1
9,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,5,Best thing that has happened in my Kitchen,Format: Hardcover-spiral,"I love this book. I think more than anything it got my brain thinking on how to add more healthy things to meals. I took it and ran, coming up with many of my own combinations using the principle puree idea. She gives great tips and its real things the kids eat. My kids love the recipes and gobble it up. I happen to be partial to the look of the book itself, its pretty and something that looks like it fits in my kitchen. The photos are great of the foods and the tips and how too's for making the puree's are excellent. My freezer is now well stocked with puree's to add with anything. I have had friends who said they didn't care for the taste of some things but I think you have to remember that the recipe is not designed to taste like grandmas brownies but a healthy and yummy alternative, I don't think you taste the veggies at all but it may have a slightly different taste than what you might be used too. I have VERY picky eaters and now feel that I am feeding them more nutrious items. The pink pancakes are to die for! So I highly recommend this book, and for those who are determined to pick at recipes and feel the need to be critical you just go on not eating your veggies. And for those who think an idea was stolen I don't believe she is wrong to want to publish her recipes and her methods, even though they may be similar to another book, it is her opinion and recipes.",5 people found this helpful,1
10,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,4,Interesting buy,Format: Hardcover-spiral,So far good book. Made French toast and hubby loved it the kids not so much lol hit and miss can’t wair to try more recipes I hope my kids will like it,2 people found this helpful,1
