,book_title,star,title,format,review,helpful,sentiment
1,Esther the Wonder Pig: Changing the World One Heart at a Time,5,"Prepare to laugh, cry, love, and ponder...",Format: Hardcover,"I preordered this in January and it arrived today, the day the book was released. I've followed Esther on FB for so long, that Steve and Derek feel like friends that I wave to everyday as I leave the house. Even tossed a few dollars into the fund to help buy the sanctuary, holding my breath, watching the fund grow higher each day. It's been a wild ride, and certainly a unique story that no one else can tell. Others may own a pig, but that pig isn't going to become a worldwide sensation, get people to donate huge funds for a sanctuary, and turn people into vegans. There's magic at work here. Enter Esther, the girl who made Steve, Derek, and herself a household name. The book is funny, endearing, thought provoking, and reminds us that there are many other animals that are just as loving and intelligent as our current domesticated pets, and that they don't deserve the treatment or fate they receive in this world. You may not go completely vegan after reading the book, but most everything about Esther's story will at least give you pause, a reason to consider things that you didn't think about before. Oddly enough, it was yet another person trying to take advantage of an animal that brought Esther into Steve and Derek's life: a person trying to make a quick buck by selling baby commercial pigs, passing them off as ""mini pigs"". Fate stepped in, Esther was spared a horrific and short life before becoming a package of bacon, and instead became a social media personality that has followers around the globe. No one saw that coming! It helps that her dads have so much personality, and can capture Esther's thoughts and expressions in photos and then write hilarious captions from Esther's point of view. This book is a quick read, very entertaining, and will hopefully make each person ask themselves, ""What can I do to make this world one notch better while I'm here? Even if my actions cannot fix the whole problem, what is my personal decision about partaking in this issue? Am I humane, as well as human?"" Steve, Derek, and Esther have unknowingly immortalized their legacy; their names, this story, and the current animal sanctuary they run will be remembered and loved forever. Do two things different today: donate five dollars to an animal sanctuary, and set a goal to give up eating animal meat three days a week. Your heart, soul, and health will thank you. And, you may find yourself becoming a member of Esther's Army. It feels good to partake in something so positive. Esther's followers are now a massive, global family. Take the first step and come join us. No pressure to change; however, Esther might make you see the world differently, without using any words. Yes, you can indeed be both humane and human. Esther and the boys are blazing the trail to prove that very fact. Great work, guys! You have indeed changed the world for the better.",125 people found this helpful,1
2,Esther the Wonder Pig: Changing the World One Heart at a Time,5,I give this one FIVE CUPCAKES!,Format: Hardcover,"The only way I could be happier with this book is if it had more pages with more wonderful tales of our favorite porcine princess…I’ve been following Esther, her dads and HEEFS for a while now on social media and, I love everything about them and their story. At the heart of it all is a beautiful girl that we’ve all gotten to know through daily pics, videos and stories that make us feel like part of the family – we’ve been granted the unique privilege of daily access to the Wonder Pig and all her mint-sucking, bed-hogging, pool-crushing, tulip-bulb-digging, stick-carrying, wind-passing glory. And, just when we thought we knew everything, and that we couldn’t possibly love her or her dads more…along comes the book. It’s hysterical, heartwarming, thought-provoking and quietly powerful…it will make you think…make you cry…make you smile and laugh out loud (many times). It’s the story of Esther the way it should be told…with love and humor in every page.",59 people found this helpful,1
3,Esther the Wonder Pig: Changing the World One Heart at a Time,5,BEST book I have EVER read!!! Esther is Enchanting!!!!,Format: Hardcover,"Thank you doesn't begin to describe my gratitude for sharing your (and Esther's) story. I absolutely LOVE this book!!! I laughed, I cried, I laughed some more and I nodded like a crazy woman when I've found myself in such similar situations I had to read it to my husband and then to my son who found the similarities uncanny and laughed with me!
Esther has been a big part of my life over the last year. I suffer from severe depression and anxiety and Esther ALWAYS brings me out of the darkness with her kindness and humor! My diet has also changed thanks to her and I am so happy to be a part of The Esther Movement! Thank you a million times over to sharing her with the world and writing this amazing book that continues to give me, and so many other humans and animals alike, hope for tomorrow!",62 people found this helpful,1
4,Esther the Wonder Pig: Changing the World One Heart at a Time,5,A rare treat,Format: Hardcover,I have been following Esther the Wonder Pig since the beginning of their fb page. I loved the quirky posts and her adorable face. I was so emotional when their farm was purchased and I saw pics of Esther walking around open spaces. This book gave me a deeper understanding of the sacrifices and the deeply difficult choices her two dads had to make to keep her in their lives. I learned that you can commit to something and work every second to make it a reality. I loved reading every word and felt absolutely more in love with this family. The book was well written and so funny. Like laugh out loud funny. And so interesting. I got it at 1 pm today and started reading. I just finished it. Page turner. Thank you for sharing your story with us. Its added value to my life. My perspective.,41 people found this helpful,1
5,Esther the Wonder Pig: Changing the World One Heart at a Time,5,This is a truly one-of-a-kind story about true love that changed lives,Format: Kindle Edition,By Chapter Four I had cried and laughed so many times I lost count. This is a truly one-of-a-kind story about true love that changed lives. I am so in love with Esther and her dads and the rest of her animal family.,39 people found this helpful,1
6,Esther the Wonder Pig: Changing the World One Heart at a Time,5,"Enjoyable and easy read, for those of us who love Miss Esther and her dads!",Format: Kindle Edition,"I have been following Esther the Wonder Pig on Facebook for about 7-8 months now. Her personality as portrayed by the dads, who know her well, is both funny and educational. I welcomed the opportunity to find out how it all started and to follow her current adventures! And you cannot exclude Miss Esther's siblings from different mothers! Makes the family complete! This book is an easy read, I bought the e-book and read it this afternoon. I appreciate Steve and Derek sharing freely the emotional roller coaster that came from making a 'mini pig' part of the family and how they held on fast refusing to let go of their 650 pound little girl! I highly recommend this book and recommend you follow Esther the Wonder Pig on Facebook!",40 people found this helpful,1
7,Esther the Wonder Pig: Changing the World One Heart at a Time,5,I LOVE ESTHER PIG!!!!!!,Format: Hardcover,"This fairy piggy and her beautiful family have changed my life forever! I don't know them, but they have welcomed all of us into their magical world of kindness and we will forever be changed! I swear I go on her FB and IG pages everyday just to start my day! Her dads, and animal family just make my days brighter!

My family and I slowly but surely have all stopped eating meat thanks to this one piggy! Trust me ya'll she will change your life as well. My only sadness is that we did not change sooner! Kindness is magic! ;)

If you love animals Please buy this book... I promise it will change your heart and way of thinking for ever! Kindness for the win! <3",17 people found this helpful,1
8,Esther the Wonder Pig: Changing the World One Heart at a Time,5,What a great book!!!,Format: Kindle Edition,"I've always enjoyed getting a glimpse into Esther's life via social media but this book just made me fall in love with the whole gang. It's sweet, funny, truthful and leaves you wanting to be more kind to those around you. I never thought I'd love a pig but I'm pretty sure I'll follow Esther and her adventures till the end of time.
Thank you for such a great book.
Peace Love and Esther
Jodie Butler",15 people found this helpful,1
9,Esther the Wonder Pig: Changing the World One Heart at a Time,5,A Modern Day Fairy Tale Come True,Format: Hardcover,"This is a book I've been waiting for since long before Esther's dads decided to write it. I've been following their story from the start of the Facebook page creation, and I've got to say I'm completely smitten with the two handsome and noble knights and the beautiful princess, who once out of danger of the fate of so many of her kind, is no damsel in distress. She is in charge! How many of us can say we have changed the lives of the people who love us as completely as these two men have changed theirs for their sweet Esther? This book allows all Esther's fans to get an even deeper insight into her life and story. It moved me to tears and made me laugh out loud at the gym while on the bike so that I was able to tell all of the startled people around me to buy this book! I can't wait for the sequel. I live an Esther approved life, and I work hard at advocating for all of our fellow earthlings, but nobody does it better than this trio. Long live Princess Esther and her smiling knights in crocs! P.S. The book is pink. How perfect is that?!",13 people found this helpful,1
10,Esther the Wonder Pig: Changing the World One Heart at a Time,5,Esther the wonder pig,Format: Kindle Edition,"I have followed the adventures of Esther for some time on Facebook. Her smile never fails to make me smile, just like this book. As a fellow animal rescue, and someone who has always wanted an animal sanctuary, these two make me believe that it can come true. Thanks to Esther, I have reevaluated my choices in food. This book was a joy to read,",14 people found this helpful,1
