,book_title,star,title,format,review,helpful,sentiment
0,"Fermented Vegetables: Creative Recipes for Fermenting 64 Vegetables & Herbs in Krauts, Kimchis, Brined Pickles, Chutneys, Relishes & Pastes",5,A-Z compendium of veggie fermentations,Format: Paperback,"Great resource - am an 'experienced' fermenter but this book would work for beginners as well. it is a nice A-Z compendium of how to ferment (and when not to ferment) your fave veggies. I use a slightly different method to prevent mold, and i use a water lock but the recipes are well thought-out and solid. especially helpful is the 'scum' identifier section at the back of the book. and yes, there are pictures sprinkled throughout- a must for me, a visual cook.",230 people found this helpful,1
1,"Fermented Vegetables: Creative Recipes for Fermenting 64 Vegetables & Herbs in Krauts, Kimchis, Brined Pickles, Chutneys, Relishes & Pastes",5,Perfect starter book for me.,,,,1
56,"Fermented Vegetables: Creative Recipes for Fermenting 64 Vegetables & Herbs in Krauts, Kimchis, Brined Pickles, Chutneys, Relishes & Pastes",5,So glad I have this a try.,Format: Paperback,"Perfect book, particularly for the the beginner. Plain, straightforward. Excellent read, the authors have a very down to earth style. I am a beginner in the fermented veggie world and with the wealth of information out there have struggled to find the right approach, this book is it. If you are new to fermenting or have been doing it for years there is something in this book you can use, be it a recipe, tool, or just plain sound advice. Highly recommend.",2 people found this helpful,1
57,"Fermented Vegetables: Creative Recipes for Fermenting 64 Vegetables & Herbs in Krauts, Kimchis, Brined Pickles, Chutneys, Relishes & Pastes",5,Crock Pickeling,Format: Paperback,"I never ate the cucks that i tried to pickle with 10% salt solution. The book was doing its job, i seen my grand mother pickle using the salt method, and also the Vinegar method. My pickles were very soft and spongy, they were tossed. I will try again in the fall.",,1
58,"Fermented Vegetables: Creative Recipes for Fermenting 64 Vegetables & Herbs in Krauts, Kimchis, Brined Pickles, Chutneys, Relishes & Pastes",5,I purchase this book and have not been disappointed whatsoever!,Format: Paperback,"After doing some research, I purchase this book and have not been disappointed whatsoever!! I immediately started fermenting my own vegetables and have not had a single batch go to waste!! The instructions are straightforward and simple to follow! I have tried over seven different recipes and they have all turned out excellently!!! While I was super excited to try these ferments for myself, I didn't expect my friends and colleagues to be as enthused as me, but to my surprise, they are also excited and anticipate the new ferments. I have nine jars that are just about done and everyone is excited to try out what I've been fermenting.
Simplicity: excellent!
Variety of recipes: very broad (from around the world)!
Recommendation: 15 out of 10!!",2 people found this helpful,1
59,"Fermented Vegetables: Creative Recipes for Fermenting 64 Vegetables & Herbs in Krauts, Kimchis, Brined Pickles, Chutneys, Relishes & Pastes",5,This is THE best book I've found on fermenting vegetables,Format: Paperback,"This is THE best book I've found on fermenting vegetables. Loaded with recipes, very well written with clear instructions and information. This has something for everyone from the novice to the seasoned sauerkraut maker. I'm so glad I purchased this book, and I highly recommend you get a copy for yourself.",2 people found this helpful,1
60,"Fermented Vegetables: Creative Recipes for Fermenting 64 Vegetables & Herbs in Krauts, Kimchis, Brined Pickles, Chutneys, Relishes & Pastes",5,WOW!!! Great resource for my Happy Ferments!,Format: Kindle Edition,"Amazingly thorough book!! I've been happily fermenting for months. Every question I have had has been answered in this book. If you're new to fermenting, this is an invaluable resource!!",4 people found this helpful,1
61,"Fermented Vegetables: Creative Recipes for Fermenting 64 Vegetables & Herbs in Krauts, Kimchis, Brined Pickles, Chutneys, Relishes & Pastes",5,Awesome guide,Format: Kindle Edition,"I love this book!
It is both a reference guide and their ""story"". It is well written and I have made 5 recipes so far....very delicious.",3 people found this helpful,1
62,"Fermented Vegetables: Creative Recipes for Fermenting 64 Vegetables & Herbs in Krauts, Kimchis, Brined Pickles, Chutneys, Relishes & Pastes",5,Delicious recipes and easy to follow,Format: Paperback,Delicious recipes and easy to follow. I've made several of the sauerkraut recipes. The golden beat sauerkraut is very good. I like that they provide a lot of helpful pictures and recipes in the back.,3 people found this helpful,1
63,"Fermented Vegetables: Creative Recipes for Fermenting 64 Vegetables & Herbs in Krauts, Kimchis, Brined Pickles, Chutneys, Relishes & Pastes",5,Wonderful resource.,Format: Paperback,I'm a beginner at fermenting and know that I will refer to this book over and over. It is an excellent resource with wonderful recipes to boot!!,One person found this helpful,1
