,book_title,star,title,format,review,helpful,sentiment
1,"John McLemore's ""Dadgum That's Good!""",5,Glad I bought this book,Format: Paperback,"I tend to read reviews from the worst to the best. One of the worst was upset with the 'religious' intonations. Others were disappointed that their particular cooker was not covered to their satisfaction.

From there I read the book. I love John's dedication to family; his young entrepreneurial spirit.

As a Jew, many of his recipes don't fit my religious dietary laws, but I can also make many work. ""Dadgum..."" also helps me understand the smoker I bought 10 years ago- not John's product. I look forward to using his recipes on my own old smoker.

There is more to buying a recipe book than making the recipes. John shared his family with us. I cook Chinese food also and have become close to the author of several excellent books on the subject. Her first may well be her best. It was written from her 'heart.' Reading John's book gives me the same feeling of 'family'-- of 'heart.'",4 people found this helpful,1
2,"John McLemore's ""Dadgum That's Good!""",5,"Good cook book, not just for smoking!",Format: Paperback,"I purchased this cook book as many people do with their masterbuilt smokers. I was pleasently surprised to find the wide range of recipies in here. It has a nice selection for the smoker, meats AND side dishes (I never would have guessed you could smoke potato salad and mac and cheese) and also a section for steaming, grilling and frying. We have tried about 7 things out of this book from sides to smoked meats to grilled items and all tasted wonderful. The photos are nice and big and if you follow the directions your food will come out looking as pictured. If you buy this keep in mind its a cook book that is not only for smoking but for cooking in general.",,1
3,"John McLemore's ""Dadgum That's Good!""",5,Great cookbook,Format: Paperback,Excellent cookbook for barbecue. My husband uses this a lot.,,1
4,"John McLemore's ""Dadgum That's Good!""",5,Best of the books,Format: Paperback,Hard to find any original versions so I tried a used book. It looks brand new and had everything we were looking for.,One person found this helpful,1
5,"John McLemore's ""Dadgum That's Good!""",5,"good book, tasty recipes",Format: Paperback,"this book has quite the variety of recipes for outdoor cooking like smoking, frying, and BBQ. i have read some of the other reviews that have been written and disagree with a few of those who were expecting only smoker recipes. it says in the description it is for BBQ, frying, and smoking. the recipes are quite tasty and are easy to do. i recommend the smoked macaroni and cheese.",,1
6,"John McLemore's ""Dadgum That's Good!""",5,Very nice book,Format: Paperback,"This is the best cookbook for smoking, just wish it only had just smoking recipes instead of frying, and others too. Very good recipes in it, its worth the money.",,1
7,"John McLemore's ""Dadgum That's Good!""",4,Great cookbook,Format: Paperback,"Since I have the fryer and smoker that these recipes are based on, this book has been very helpful. Lots of great recipes and pictures to back them up. I think the only downside is that it IS written for these appliances. If you don't have say, a fryer AND a smoker, it may not be as useful to you.",,1
8,"John McLemore's ""Dadgum That's Good!""",5,"Fun cookbook, good recipes",Format: Paperback,"I really like how the author takes the mystery out of using a smoker. I bought this cookbook along with our smoker, and we use the recipes in it all the time. I would love to see another smoker cookbook by the same author, because there aren't really that many recipes in this book.",One person found this helpful,1
9,"John McLemore's ""Dadgum That's Good!""",5,Five Stars,Format: Paperback,It looks like it will be a great cookbook not only for smoking but for grilling as well.,,1
10,"John McLemore's ""Dadgum That's Good!""",5,Five Stars,Format: Paperback,great cooking ideas,,1
