,book_title,star,title,format,review,helpful,sentiment
1,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",4,Controversial,Format: Mass Market Paperback,"People either like Julie Powell or loathe her, it seems. Although in the blog on which the book and film were based, she shows herself to be prone to overreacting and self-absorption, I appreciated her acerbic wit. Apparently she did not handle her subsequent fame very well, and her follow-up memoir was uniformly-panned, pun intended.",16 people found this helpful,1
2,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",4,Made me want to cook something fabulous!,Format: Kindle Edition,"Like the movie, this book made me hungry and made me want to be a fabulous cook. I even went as far as attempting one of the recipes, only to learn that trying to cook like Julie or Julia was a little too ambitious for my skill set. It was fun though, like this book. Julie made me laugh with her frustrations and mistakes. The lobster scene alone makes it worth reading the whole book. As Julie became more aware of her own shortcomings I became more able to laugh at my own in comparison. She also gives a glance into the love story that was Julia and Paul's life together. This is part of Julia's life we don't often hear about. You fall in love with the Julia Child you never knew, or maybe you did if you read "" My Life in France"" as I was compelled to do when I finished this book. I feel Julie Powell's feat of cooking her way through ""MTAOFC"" was comedic enough to make an enjoyable book, and Julia Childs' whole life was interesting enough to be the icing on the cake of that book.",4 people found this helpful,1
3,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",5,Great and fun,Format: Kindle Edition,"Reading this book must be like reading Julie Powell's blog - informal, funny, annoying. Some parts of the book should not be read while eating (the parts dealing with offal) but all in all, Great read. Oh, if you're expecting a lot of Julia Child bio (like the movie), forget it. A few entertaining letters written by Paul Childs are about it.",2 people found this helpful,1
4,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",5,"Cooking, cursing and joy",Format: Kindle Edition,"Having read this book before (though a long time ago) I was looking forward to the brash character that is Julie. As someone filled with gritty, determined purpose you can’t help cheering for her through this endeavor that makes her the New York female version of “Everyman.” It’s funny and satisfying to read, I highly recommend it. Again.",2 people found this helpful,1
5,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",4,Entertaining account,Format: Kindle Edition,"I never read Julie's blog, and I never saw the movie, but I read about it. So when the book was listed for $1.99 I figured it was worth a try. I'm glad I bought it, because it is an entertaining account of one woman's obsession with cooking every recipe in Julia Child's magnum opus, Mastering the Art of French Cooking. Setting aside one year to accomplish this feat, Julie bravely begins with page one and works her way through all 524 recipes. It's a wonder she and her husband didn't die from high cholesterol eating all this rich food

An amusing account of what started so light-heartedly and came to be a way of coping with a dead-end job, the trauma of living in New York during 9/11, and trying to cook in a tiny kitchen which was never designed for this. Day by day, week by week, she works her way through the book, sharing with us her failures and successes, until she at last emerges, a sadder but wiser women, at the end.",3 people found this helpful,1
6,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",4,i thoroughly enjoyed it. Honest,Format: Kindle Edition,"Delightful, i thoroughly enjoyed it. Honest, real, down to earth and unpretentious. Well written, Julie made me feel as if I'm right there in her kitchen. I can identify so well with why she needed to do this project. As for the way she seems...she might as well be me or a close friend. Loved it",One person found this helpful,1
7,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",5,Since this is my favorite movie I thought I'd read the book and I ...,Format: Mass Market Paperback,Since this is my favorite movie I thought I'd read the book and I gotta say I absolutely love it!,One person found this helpful,1
8,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",5,Funny non-fiction read,Format: Mass Market Paperback,"I expected to enjoy this book and I did. I was surprised at how LOL funny the author is. Great book! It is NOT Julia Child's story however ... it is Julia's and if you like to cook, (or even if you don't) , it is fun non-fiction.",2 people found this helpful,1
9,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",4,"Not what you'd expect, but an excellent book despite itself",Format: Mass Market Paperback,"I am giving this book a 4-star review, but I must explain why in detail because I understand some of the vicious reviews others have given it.

First, by now, most of us buying this book will have already seen the movie, and, as others have noted, the real Julie Powell is not at all like Amy Adams. In the movie, Amy is adorable, cute, and attractive, an ideal protaganist to root for. Julie Powell, as she presents herself in this book, is not only a bitch, but a whining, self-pitying, narcississtic bitch--an almost thoroughly unlikable character.

Second, as we all know, editors have gone the way of linotype machines--I guess they started disappearing 20 or 30 years ago, and by now, the folks with that title seem to be little more than project managers whose only focus is managing deadlines and maybe expenses. The prose in the beginning of the book is really hard to take; reading it made me as uncomfortable as watching an untalented child screeching for attention from a stage. It seemed as though half the sentences had an extra third tacked on where Julie was trying to prove she was an 'author' who could really 'write'. An editor working on a college newspaper could have vastly improved the book with a red pencil and some strong guidance.

Third, this is based on a blog. This means there is only one subject: the attention-starved author whose exhibitionism creates a completely unwarranted sense of self-importance in the author's own mind and heart. The book is not about cooking, not about learning, not even about working through Julia Child's classic cookbook, it is about Julie, and nothing but Julie. I can completely understand why Julia might not have liked the blog: what I wanted to see was, 'Here's what I am going to cook next, here are my adventures and misadventures encountered along the way, here is how it tasted, here is what I learned about cooking and about myself.' That is most emphatically not what this book is about. Julie was given the nickname Sarah Bernhardt from a very young age because she has evidently been given to histrionics and tantrums since birth--that's pretty much what the book is about.

Having now confirmed most of the negative appraisals given by those reviewers who only gave this book 1 or 2 stars and probably wished they could have given it zero, how do I get from here to a 4 star review? Let me try to explain.

This is, quite inadvertantly, a very adult book. Granted, the language is that of a foul-mouthed teenager, the attitude that of a petulant child, the insights, well, there really aren't any. I would not recommend this book to any under 25, maybe even under 30. Imagine a memoir written by a substance-abusing street person who once worked on Wall Street. This is how grim this book is.

Julie Powell is not a drunk, or a drug addict; she is a reasonably sane, functioning adult, but she is deeply damaged, still trapped in some childhood drama that we, even now, know nothing about because she lacks the insight to see it for herself yet.

But, even though I did have to skip a few pages towards the beginning of the book that were just unbearable, the book became more compelling as I forged ahead for two critical reasons:

1) Julie actually learned to write as she was writing this book. A decent editor would have pointed this out and cleaned up the amateurish, exhibitionist beginning to match the more maturely written last half of the book, but, alas, Julie was ill-served by a project manager. Offhand, I would say the most egregiously bad writing is confined to the first 30-50 pages or so, and seems to disappear almost entirely after page 80.

2) The growth I was hoping to see Julie undergo during the project only really began to happen afterwards, while she was writing this book. But she did grow as she wrote the book, although in ways she is apparently yet unable to see. The book is funny, and episodic, and meant to be a number of things, but it is mostly grim and compelling. It's like watching an addict invent rehab on their own without ever even realizing it. When Julie says she was drowing and Julia saved her, she's telling the truth. She was lost in a crappy life, but the only thing that really made her life crappy was her, not her husband, family, friends, job, apartment, or city. All of the crappiness was entirely inside Julie, entirely of her own making, and it was only through committing herself to this journey that she was able to begin to drag herself out of her narcisstic black hole of misery.

Nora Ephron based her movie on two books that she essentially threw away in order to make up a beautiful dual story of personal growth. I am so glad she invented the character that Amy Adams realized so well. This book, on the other hand, tells the very adult tale of an immature, un-self-aware, miserable narcissist who began to work her way out of this nightmare of her own making by discovering the joy of learning that Julia so fully embodied. When she writes of this at the end of the book, she is still embarrassed to use the word 'joy', and this alone should give you an indication of how deeply damaged she really is. But, as you get further and further into the book, you begin to see the redemptive power of committment to a project outside of one's own neurotic orbit, a redemption that begins to work its magic even though Julie is too miserable and flawed to see anything more than glimpses of it herself.

The movie is cute, and funny, and wonderful, and light. This book is a grim memoir of redemption that is made all the more powerful by the fact that the author is too unperceptive to see what is going on herself. There is a turning point in the book, but it's hard to find because Julie never saw it herself, so she didn't structure the narrative around it. The book is life-affirming and ultimately very positive because it shows that the right mission, diligently followed, can save us despite our attempts to sabotage it.",14 people found this helpful,1
10,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",4,Good recipes,Format: Kindle Edition,A little disorganized; I liked the Julia parts better than Julie.,One person found this helpful,1
